class,text
P,"Blinded. Single physician assessment. ""success of blinding was assessed by the accuracy of the physicians prediction at the end of the study"" (34% correctly identified only)"
Q,Blinding not described
Q,Blinding not possible due to recalls and prompts.
Q,"Blinding not possible, as treating GPs received summary statements about participants as part of intervention."
Q,Blinding not reported
Q,Blinding of assessors was not described Possibly high risk of performance bias for personnel
N,"Blinding of intervention - no Blinding of outcome assessment - yes for chest X-ray, no for use of IPPV"
N,Blinding of intervention - no. Blinding of outcome assessment - not for use of IPPV
P,"Blinding of participant and care provider, but unsure about outcome assessor"
P,"Blinding of participant and care provider, but unsure about outcome assessor"
P,Blinding of participants and personnel
N,Blinding of participants was not mentioned but seemed inadequate or very unlikely since the intervention and control treatment had different routes of administration
Q,"Blinding of participants, study staG or medical staG was not reported."
P,Blinding of postoperative evaluation
N,Blinding of treatment - no. Blinding of outcome assessments - not stated.
N,Blinding was not performed
N,Blinding was not performed
N,Blinding was not performed
N,Blinding was not performed
N,Blinding was not performed
N,Blinding was not performed
N,Blinding was not performed
N,Blinding was not performed
N,Blinding was not performed
N,Blinding was not performed
N,Blinding was not performed
N,Blinding was not performed
N,Blinding was not performed
N,Blinding was not performed
N,Blinding was not performed
N,Blinding was not performed
Q,Blinding was not possible because of the nature of the interventions
Q,Blinding was not possible because of the nature of the interventions and non blinding was not likely to affect the outcomes of interest
Q,Blinding was not possible because of the nature of the interventions and nonblinding was not likely to affect the outcomes of interest
Q,Blinding was not possible because of the nature of the interventions and nonblinding was not likely to affect the outcomes of interest
Q,Blinding was not possible because of the nature of the interventions and nonblinding was not likely to affect the outcomes of interest
Q,Blinding was not possible because of the nature of the interventions and nonblinding was not likely to affect the outcomes of interest
Q,Blinding was not possible because of the nature of the interventions and nonblinding was not likely to affect the outcomes of interest
Q,Blinding was not possible because of the nature of the interventions and nonblinding was not likely to affect the outcomes of interest
Q,Blinding was not possible because of the nature of the interventions and nonblinding was not likely to affect the outcomes of interest
Q,Blinding was not possible because of the nature of the interventions and nonblinding was not likely to affect the outcomes of interest
Q,Blinding was not possible because of the nature of the interventions and nonblinding was not likely to affect the outcomes of interest
Q,Blinding was not possible because of the nature of the interventions and nonblinding was not likely to affect the outcomes of interest
Q,Blinding was not possible because of the nature of the interventions and nonblinding was not likely to affect the outcomes of interest
Q,Blinding was not possible because of the nature of the interventions and nonblinding was not likely to affect the outcomes of interest
Q,Blinding was not possible because of the nature of the interventions and nonblinding was not likely to affect the outcomes of interest
Q,Blinding was not reported
Q,"Blinding was not used due to the nature of the interventions; no information on outcome assessment; however, non-blinding of outcome assessors may not have affected some of the outcome measures as they were objectively assessed."
P,Blinding was performed
P,Both arms receive initial intervention so no differential knowledge of intervention between the groups
P,Both participants and carers blind to treatment allocation
N,Both the investigators and the patients knew whether the patients were assigned to biofeedback or to pills Partial blinding between diazepam and placebo only
P,"Both treatments were clear liquids. Saline (placebo) ""seemed identical to gabapentin"""
P,"Capsules with ""identical shape and colour"""
P,"Comment: Blinding is implied but not explicitly stated. Quote: ""This was a prospective, randomized, double-blind, placebo-controlled clinical trial of the effect of mannitol on systolic BP in multiply injured patients with severe head injuries"". Quote: ""The study solutions were prepared by the pharmacy department and were identified by a code number. An envelope showing the code number identified the contents of that IV bag. If the treating physicians at the receiving trauma center believed it was necessary to know whether the patient had received mannitol or placebo, the envelope could be opened"". Quote: ""At the conclusion of the 2-hour monitoring period, the EM resident and the investigator recording the patient data were asked to provide their guesses as to whether mannitol or placebo had been administered to the patient. For those patients actually given mannitol, the resident correctly picked mannitol in 11 of 13 cases for which a guess was given; and the investigators correctly picked mannitol in 13 of 14 cases. For those patients actually given placebo, the resident correctly picked placebo in 5 of 10 cases for which a guess was given; and the investigators correctly picked placebo for 13 of 16 cases""."
P,Comment: both capsules were identical and packed in similar packages and were only identifiable by a code. Both clinicians and participants were blinded.
P,Comment: both the clinician and participants were blinded.
,Comment: not stated
,"Comment: not stated in study report, but author responded to request for further information by stating the investigators and outcome assessors were blinded."
,"Comment: not stated in study report, but author responded to request for further information by stating the investigators and outcome assessors were blinded."
,"Comment: not stated in study report, but author responded to request for further information by stating the investigators and outcome assessors were blinded."
,"Comment: not stated in study report, but author responded to request for further information by stating the investigators and outcome assessors were blinded."
,"Comment: not stated in study report, but author responded to request for further information by stating the investigators and outcome assessors were blinded. Both Gethin and Jull have reported how it was difficult or impossible to blind outcome assessment due to discolouration of peri-ulcer skin by honey. We have therefore classed all as unclear risk for blinding of outcome assessors."
,"Comment: not stated in study report, but author responded to request for further information by stating the investigators and outcome assessors were blinded. Both Gethin and Jull have reported how it was difficult or impossible to blind outcome assessment due to discolouration of peri-ulcer skin by honey. We have therefore classed all as unclear risk for blinding of outcome assessors"
,"Comment: not stated in study report, but author responded to request for further information by stating the investigators and outcome assessors were blinded. How blinding was achieved was not described in the response."
,Comment: not stated.
,Comment: not stated.
,Comment: not stated.
,Comment: not stated.
,Comment: not stated.
,Comment: not stated. However the difference in interventions means that blinding unlikely.
Q,"Comment: outcome assessors and treating physicians were blinded. Vitamin E and placebo were identical in shape, colour, taste, and smell."
P,"Comment: participants and observers were blinded, and the placebo was identical."
Q,Comment: the study authors did not mention blinding but used a placebo for the comparator.
N,"Comment: the study authors did not mention blinding. In addition, blinding might not be accomplished as the difference of dose (2 tablets versus 1 tablets) and administrator."
,Comment: the study is described by the authors as double blind although quite how blinding was maintained is not reported. Nevertheless we have rated this as low risk for performance bias on the basis of the blinding
Q,Comment: the study states double-blinded.
N,"Comment: the study was not blinded, and there was no placebo intervention."
P,"Comment: triple blinded (patients, clinicians, and statisticians were all blinded). The placebo and cinnamon capsule were completely identical and were manufactured by the same company. They were packed in an identical package and were distinguishable by a code on the packets."
P,"CRC diagnosis and cause of death obtained from public registries. In cases of uncertainty of cause of death, an independent reviewer who was blinded to study group allocation evaluated case records"
P,Daily billing forms were reviewed by trained research assistant.
P,Data extractors abstracted data from primary care practice records and were blinded.
P,Data were obtained from administrative databases and chart review to measure vaccination uptake.
Q,"Described as ""double-blind""; method not described"
Q,"Described as an open-label trial, thus both participants and personnel were aware of the treatment protocols. However, non-blinding of outcome assessors may not have affected some of the outcome measures as they were objectively assessed."
Q,Described as double-blind - no details given
P,"Described as double-blind, and interventions were appropriate"
Q,"Described as double-blind, no further details given."
P,"described as single blind, and interventions appropriate"
P,"Described as single blind, and the interventions were appropriate"
P,"Described as single blind, and the interventions were appropriate"
Q,Described only as double-blinded
Q,Described only as double-blinded
,different interventions at the same site visible
P,Double blind
P,"Double blind, with double-dummy technique"
P,"Double blind. ""Consecutive outpatients were randomly assigned to receive in a double-blind fashion one of the following subcutaneous treatments."" ""All primary and secondary outcomes were evaluated by a central adjudication committee, whose members were not involved in patient recruitment."""
P,Double blind. Women in control group received a placebo.
Q,Double Blind'
P,Double blinded - outcome assessor and the women were blinded
P,Double blinded. “Both the woman and the attending medical staC were unaware of the medication used.”
P,Double blinding (participants and nurses blinded)
P,Double blinding was possible as depot was available in 2% and 10% solutions. No information on test of blinding though.
P,"Double blinding. ""Neither the patient nor the physician were aware of the drug used."""
P,"Double blinding. ""The nurse, the patient and the physician were not aware of the drug used."""
P,Double-blind
P,Double-blind
Q,Double-blind
P,Double-blind
P,Double-blind
P,Double-blind
P,Double-blind
P,Double-blind
P,Double-blind
P,"Double-blind for all assessments in 12-week therapy phase, Investigators adjusted the number of placebo capsules similarly to maintain the blinding. Single-blind in run-in phase"
P,Double-blind study design
P,Double-blind study design
P,Double-blind study design
P,Double-blind study design
P,Double-blind study design
P,Double-blind study design
P,Double-blind study design
P,Double-blind study design used
Q,"Double-blind study; however, not reported who was blinded and how blinding was obtained."
Q,"Double-blind study. ""double-blind comparison;"" however, not reported who was blinded and how blinding was attempted."
P,"Double-blind study. ""Fondaparinux and placebo were packaged in identical boxes containing visually identical, prefilled 0.5-ml single-dose syringes."" ""All symptomatic outcomes were reviewed by the central adjudication committee, whose members were unaware of the patients’ group assignments."" ""The database of adjudicated outcomes was managed by an independent central adjudication committee."""
Q,"Double-blind study. Authors stated that study was double-blind and placebo-controlled. However, no details regarding study medication or placebo given in main text."
Q,"Double-blind, ""Neither the patient nor the gynaecologist were aware of the gel being applied”"
P,Double-blinded
P,Double-blinded
P,Double-blinded
,Double-blinded trial
,Double-blinded trial
,Double-blinded trial
P,"Double-blinded, “neither the patient nor the attendant physician were aware of the content of the ampoules.”"
,"Double-blinded, placebo-controlled trial"
,"Double-blinded, placebo-controlled trial"
P,"Double-blinded. ""Lidocaine and placebo were packaged in identical bottles and could not be differentiated."""
P,"Double-blinded. ""Participants, attending medical staC and research nurses were blinded to the treatment used."""
P,"Double-blinded. ""Placebo comparable to Essaven gel was used,"" ""operators were unaware of the contents of the tube."""
P,"Double-blinded. ""The patient, research assistant and principal investigator were blinded to the treatment group."""
P,Double-blinding
P,Double-blinding
P,Double-blinding
P,Double-blinding
P,Double-blinding
P,Double-blinding
P,Double-blinding
P,Double-blinding
P,Double-blinding
P,Double-blinding
P,Double-blinding
P,Double-blinding
P,Double-blinding
P,Double-blinding
P,Double-blinding
Q,Double-blinding
Q,Double-blinding
Q,Double-blinding
Q,"Double-blinding, integrity of blinding not assessed (p.220)"
Q,"Double-blinding, integrity of blinding not assessed (p.575, investigator information)"
Q,"Double-blinding, integrity of blinding not assessed, p.438 and investigator information"
Q,"Double-blinding, integrity of blinding not assessed, p.53"
P,Double-dummy method
P,Double-dummy method
P,During recruitment participants were blinded to the focus of the study on alcohol
P,"E-mail from author: ""StaH were blinded to the allocation."" Outcome was influenza Medicare claims."
P,Endoscopies were all performed by the same physician who was unaware of the patient's treatment category
P,Endoscopists were blinded for the treatment
P,"Factorial, double-dummy design; described as double blind; no details of blinding of the observer"
N,Family members not blinded. Not feasible to blind medical staK administering the treatment.
P,Gabapentin 300 mg over-capsulated and identical placebo capsules
P,"General practitioners were blind to allocation, but no information provided on methods of blinding. Person who assessed outcome was blind to the participant group allocation."
Q,"Given the nature of the intervention, it was not possible to blind the participants or the intervention providers. However, the telephone interviewers obtaining follow-up data could have been blinded but the authors do not report 
whether this was done."
P,Groups b) and c) blinded: 'participants remained unaware of their [acupuncture] treatment group assignment'
Q,Handling and blinding of questionnaires not stated
P,Healthcare utilisation measured from automated data.
P,"Healthcare workers caring for participants blinded, participants not blinded"
Q,hose delivering the interventions were aware of treatmentgroup. It is not clear whether this would have introduced bias
Q,hose delivering the interventions were aware of treatmentgroup. It is not clear whether this would have introduced bias
P,"Identical appearance, weight, taste, and smell of tablets for treatments and placebo"
P,Identical blister packs
P,Identical placebo and IVIG prepared separately by pharmacists; syringes and tubing were masked with yellow tape
P,"Identical placebo, persons administering therapy were blinded"
P,"Identically packaged placebo, blinded clinical evaluation committee"
N,"Implied to be an open-label study. Not explicit, but implied open-label with regard to participants and study drug administrators. Detection: ""rater blind"", but no information on how the blinding was maintained."
P,"In follow-ups, telephone interviewers were blinded to intervention; no information provided as to blinding for postal surveys or Medicare claims. However, it is unlikely that contamination could have occurred."
Q,Insufficient description
Q,Insufficient description
P,Investigators were blinded to all outcome determinations; allocation was performed by a biostatistician and was implemented by an epidemiologist
P,"Investigators were blinded to the intervention. Based on this statement and the effective blinding of participants, we judged that the personnel were effectively blinded"
Q,It is unclear whether the SIS for quality of life involved self reports
P,It was attempted to conduct the interviews as a rather open talk on health and social questions; alcohol questions were embedded in other health-related questions (p.1320)
Q,"It was reported that ""The nature of the treatment interventions precluded blinding of patients and treating physicians."" No information on outcome assessment. However, non-blinding of outcome assessors may not have affected some of the outcome measures as they were objectively assessed."
,"It was reported that, ""Dispensation of the topical agent was done by a gynecologist who was not part of the selection/interview team"""
,"It was reported that, ""The first phase was double-blind, randomized, and placebo-controlled"""
P,"IVIG and dextrose were dispensed in similar, unmarked bottles. The physician treating the infants was not aware of the contents. Assessed as non-blind by Pildal and Goetzsche (Pildal 2004); pentaglobin is opaque while dextrose is not; no precautions to conceal this"
P,"Judgement comment: blinding not reported, but unlikely to have affected outcome."
P,Judgement comment: outcomes unlikely to be affected by lack of blinding
,Low risk
N,"Masking was impossible for surgeons It is unclear if patients were aware of their group allocation Outcome assessment was masked ""Postoperatively, wound follow-up was carried out by the infection control nurse who was unaware whether the drape had been used or not"""
N,Masking was impossible for surgeons It is unclear if patients were aware of their group allocation The person assessing the outcome was aware of the patient's allocation group
N,"Masking was impossible for surgeons It is unclear if patients were aware of their group allocation Two of the authors, who were also surgeons involved in the trial, followed up all patients until one month after the surgery to record any wound infection"
N,"Masking was impossible for surgeons It is unclear if patients were aware of their group allocation Whether outcome assessors were masked is unclear. The author states ""After the operation, the wound was observed for clinical infection"" but there was no indication of who undertook this assessment nor if those assessing the outcome were aware of the group allocation"
N,"Masking was impossible for surgeons It is unclear if patients were aware of their group allocation Whether outcome assessors were masked is unclear. The author states ""Postoperative observations of the wounds were continued in hospital until the fourteenth post-operative day"" but there was no indication of who undertook this assessment nor if the assessors were aware of the group allocation"
N,Masking was impossible for surgeons It is unclear if patients were aware of their group allocation Wounds were inspected daily after the third day to identify evidence of infection but it is not clear who did this; nor if the assessors were aware of the patients allocation status
P,"Masking was impossible for surgeons Patients were blind to their allocation as the drape was placed after anaesthetic induction Outcome assessment was blinded, postoperative care was provided by staF unrelated to surgery"
P,Matching placebo
Q,"Measured by self report, but also by completed flu vouchers for payment to physician by Medicare"
Q,Mentions it is 'double blind' but does not explain about blinding regarding participants. Both the nurses and assessing psychiatrists were blind to the dosages of depots given to patients. This 'Blindness' was also tested.
Q,Mentions it is 'double blind'. Assessors were blind to evaluations of other assessors and all previous assessments of their own and also to depot dosages. No information on blinding for personnel or participants or test for blinding.
Q,Mentions it is 'double blind'. Nurse administering the depot was blind to assessments and the assessment team was blind to the drug administered. No explanation of blinding regarding participants. No information on test for blinding.
P,Mentions it is 'double blind'. Rating clinicians and patients were kept ignorant of treatment allocation. No information for test of blinding though.
Q,Mentions that the study was double blind. No other information given.
P,Neither research volunteer nor data gatherers were aware of group assignments'
N,No blinding
,no blinding
,no blinding
,no blinding
,no blinding
,no blinding
,no blinding
,no blinding
,no blinding
,no blinding
,no blinding
,no blinding
,no blinding
N,No blinding
N,No blinding described.
N,No blinding described.
