class,text
Q,Adherence of groups to day-care programme and ''ambulatory treatment'' is not specified.
Q,Adherence of groups to day-care programme and ''ambulatory treatment'' is not specified.
Q,"Adherence to protocol was low in the intervention group (43%). Triallists also reported the per-protocol results/dose response analysis as well as the ITT. Reasons for low adherence require more exploration rather than assume perprotocol results are more true than ITT and not a reverse causality effect. States no commercial funding. Clarification from trialists: ""The trial has 80% power to detect a 50% relative reduction in the absolute prevalence of food allergy by three years of age (from 8% in the SIG to 4% in the EIG) assuming a 15% drop out rate""."
Q,"After blind interim analysis of the data from 56 patients, enrolment was stopped because a significant difference in mortality rate in a subgroup analysis of evaluable patients with appropriate antibiotic therapy was documented"
N,"All children received frequent short feeds and positioning advice, and formula milk was thickened with Medigel 1%"
N,"All children received positioning advice, and infants had thickener added (Nestargel 1%). Respiratory complications (e.g. recurrent pneumonia, apnoea) were present in 18% of the children studied"
P,"All data reported, no specific reasons to suspect other bias"
P,All outcomes reported
P,All results presented as set out in the Methods. All prespecified outcomes appear to be reported
Q,"All T1 KS patients were meant to receive chemotherapy as per protocol, patients who received HAART alone were therefore exceptions"
N,All women were given 600 mg ibuprofen (if allergic 1 g paracetamol) and 5 mg diazepam 2 h before procedure and misoprostol was administered only to postmenopausal women
Q,"Allocation was by institution (school), but SSB sales (the primary outcome) fluctuated widely between the pre-intervention and the 4 intervention measurement periods, with no explanation provided which could account for these variations (see table 3 of the study's primary report)"
N,Alpha and beta errors are not prespecified
N,Alpha and beta errors are not prespecified.
N,Alpha and beta errors are not prespecified.
N,Alpha and beta errors are not prespecified.
N,Alpha and beta errors are not prespecified.
N,Alpha and beta errors are not prespecified.
N,Alpha and beta errors are not prespecified.
N,Alpha and beta errors are not prespecified.
N,Alpha and beta errors are not prespecified.
N,Alpha and beta errors are not prespecified.
N,Alpha and beta errors are not prespecified.
N,Alpha and beta errors are not prespecified.
N,Alpha and beta errors are not prespecified.
N,Alpha and beta errors are not prespecified.
N,Alpha and beta errors are not prespecified.
Q,"Alpha and beta errors are not prespecified. However, a total sample size of 220 patients was specified"
P,Alpha and beta errors are prespecified
P,Alpha and beta errors are prespecified
P,Alpha and beta errors are prespecified.
P,Alpha and beta errors are prespecified.
P,Alpha and beta errors are prespecified.
P,Alpha and beta errors are prespecified.
P,Alpha and beta errors are prespecified.
Q,"Although it was reported that participants' characteristics and number of embryos transferred were similar in both groups, the groups differed in terms of embryo quality, participants' number of visits and number of days until LHHCG surge"
P,Although only few verbal autopsies were performed this was assessed by two investigators and the second assessor was masked.
N,Ampoules of flupenthixol supplied by Lundbeck.
P,Analyses adjusted for clustering
P,"Analyses adjusted for seasonality:Quote: ""Estimates using weekly data were adjusted for time trend in numberof beverages sold per customer and estimates using 4 weekly data additionallyadjusted for quarterly seasonal effects"""
N,Analysis according to intention-to-treat unclear; no exclusion criteria reported. No sample size calculation performed. Surgeon’s experience not reported
Q,Analysis by intention-to-treat: not reported
N,Analysis not according to intention-totreat (with 2 conversions from LH to AH) . No power calculation reported. Surgeons’ experience not reported. AH technique not reported
Q,Analysis not according to intention-totreat Surgeons’ experience not reported Funding from pharmaceutical or surgical instrumentation company
N,"Analysis not according to intention-totreat. Different surgeons for different procedures Women were randomised to treatment groups before a large number (i.e. 66) of the women were excluded. Therefore, the women in each treatment group may not have been a true representation of the original randomised groups"
Q,APD schedules were not provided
P,Appears free of other biases
P,Appears free of other biases
P,Appears free of other biases
P,Appears free of other biases
P,Appears free of other sources of bias
Q,Appears free of other sources of bias
P,Appears free of other sources of bias
P,Appears to be free from other sources of bias.
P,Appears to be free of other biases.
P,Appears to be free of other sources of bias
P,Appears to be free of other sources of bias
P,Appears to be free of other sources of bias
P,Appears to be free of other sources of bias
P,Appears to be free of other sources of bias
P,Appears to be free of other sources of bias
P,Appears to be free of other sources of bias
P,Appears to be free of other sources of bias
P,Appears to be free of other sources of bias
P,Appears to be free of other sources of bias
P,Appears to be free of other sources of bias
P,Appears to be free of other sources of bias
P,Appears to be free of other sources of bias
P,Appears to be free of other sources of bias
P,Appears to be free of other sources of bias
P,Appears to be free of other sources of bias
P,Appears to be free of other sources of bias
P,Appears to be free of other sources of bias
P,Appears to be free of other sources of bias
P,Appears to be free of other sources of bias
P,Appears to be free of other sources of bias
P,Appears to be free of other sources of bias
P,Appears to be free of other sources of bias
P,Appears to be free of other sources of bias
P,Appears to be free of other sources of bias
P,Appears to be free of other sources of bias
P,Appears to be free of other sources of bias
P,Appears to be free of other sources of bias
P,Appears to be free of other sources of bias
P,Appears to be free of other sources of bias
P,Appears to be free of other sources of bias
P,Appears to be free of other sources of bias
P,Appears to be free of other sources of bias
P,Appears to be free of other sources of bias
P,Appears to be free of other sources of bias
P,Appears to be free of other sources of bias
P,Appears to be free of other sources of bias
P,Appears to be free of other sources of bias
P,Appears to be free of other sources of bias
P,Appears to be free of other sources of bias
P,Appears to be free of other sources of bias
P,Appears to be free of other sources of bias
P,Appears to be free of other sources of bias
P,Approximately ¾ midwives had a practice preference at the start of the trial. Compliance with intervention was lower in the hands-poised group.
Q,"As each treating physiotherapist potentially provided all three types of intervention (collaborative goal setting, physiotherapist mandated goal setting, and no goal setting) the potential for cross-group contamination is high, particularly around the level of patient involvement in goal selection"
N,"As the study was open label, it was probably subjected to interviewer's bias or researcher's bias."
Q,"As this was a pilot study, the authors looked for, and noted, some occasions where cross-group contamination was potentially a risk, and used this information for the development of more comprehensive procedures to minimise this risk in a future fully-powered trial (author communication)"
Q,"aseline characteristics were largely balanced. It was unclear whether timing of single immediate chemotherapy instillation differed at baseline between groups, however using the multivariable analysis of potential prognostic variables for primary endpoints with adjustment for significant prognostic variables (including timing of first chemotherapy instillation) did not change the conclusions. Regarding additional treatments during follow-up, there were more treatments in the BCG alternating with IFN-α group (27 versus 16), which the authors suggest “may have additionally contributed to decreasing the progression rate and the difference between the groups”."
N,"At baseline, the 6-month LNS group had an older mean age and this variable was significant in changing significance of key outcome variables in the study. Unclear if the participants benefited from other ongoing interventions during the study period."
N,Author COI with bard supplier of porcine mesh and study funded by unrestricted Bard grant
Q,"Author COI with Sofradim, who provided partial funding and whose product was being evaluated. 2 women who had bladder injury were excluded from analysis; this outcome not reported clearly in both groups"
Q,Authors did not describe only the 'strengths' of the study and did not describe any 'weaknesses' or 'limitations'. Unclear if the participants benefited from other ongoing interventions during the study period.
Q,Authors had COI with Bard whose mesh was assessed. Funding study not stated
N,Authors have thanked personnel of Lundbeck Ltd. for unclear reasons. Short wash-out period of 2 weeks only.
N,"Authors report COI with companies producing product evaluated and funded by Boston Scientific, whose product Capio was being evaluated"
Q,"Authors reported ""The protocol was amended because of unfavorable rates of bleeding/spotting noted with combinations of 2 mg E2 and NGM used in comitant studies."""
Q,"Authors reported conducting an analysis that excluded carry-over effects on sleep outcomes. ""In order to detect carry-over effects the ‘summed’ scores for each participant were compared across the two groups (Mel/Plac and Plac/ Mel; Everitt 1994). No significant carry-over effects were observed."""
Q,Authors stated that 97/100 births were institutional deliveries but it was unclear whether they deliberately sampled the children from health facilities (in which case results may not be generalisable to other types of births in the area) or whether the high percentage of institutional births was because most births are institutional deliveries. Unclear if the participants benefited from other ongoing interventions during the study period.
N,"Authors thank Janssen Pharmaceutica, Belgium and Janssen-Pharma, Sweden for 'active collaboration' in the study."
N,Authors thank Janssenpharma and H.Lundbeck & Co for 'drugs used and statistical analyses'.
N,Authors thank Lundbeck 'for their financial assistance'. Supplementary neuroleptics allowed during the trial might have affected outcomes.
N,Authors thank Lundbeck & Co. for unclear reasons.
N,Authors thank Lundbeck Limited for 'a generous grant and statistical analyses of results'.
P,Balanced groups
P,Balanced groups
N,"Based on figure 3 of the study's primary report, seasonality seems not to have substantially affected the direction of the observed effects. However, the statistical method is not well described, casting some doubt on its appropriateness for an ITS analysis"
Q,"Based on the reported power calculations, the study may have been underpowered to identify a statistically significant difference, unclear what effect this may have had. Insufficient reporting to determine presence of other forms of bias."
Q,"Based on the reported power calculations, the study may have been underpowered to identify a statistically significant difference, unclear what effect this may have had. Insufficient reporting to determine presence of other forms of bias."
N,"Baseline characteristics are not well balanced. No significant differences, but the groups are so small the P values would not detect significant differences."
P,Baseline characteristics balanced between groups
Q,"Baseline characteristics have not been presented for both groups separately. Therefore, baseline imbalance cannot be excluded. Furthermore, no washout period was provided."
Q,Baseline characteristics not given for the 543 patients initially randomized
Q,Baseline characteristics not reported by treatment group. Immediate postoperative intravesical chemotherapy was used in 53 (8%) of participants; it was not reported to which groups these participants had been assigned. Unclear whether conflicts of interest had any impact on the conduct of the trial.
Q,Baseline characteristics of treatment and control group not given Trial stopped at the first interim analysis
Q,Baseline characteristics only reported for women who completed the study
P,Baseline characteristics similar in both group
P,Baseline characteristics similar in both groups
Q,Baseline characteristics similar in the 2 groups
P,Baseline characteristics were quite comparable between intervention and ref-erence groups. No other obvious biases
P,Baseline characteristics were similar in the 2 groups
P,Baseline characteristics were similar. Mean age was 31 years and average parity was 4.2 children
N,Baseline characteristics were unbalanced due to the very small numbers per group.
P,"Baseline characteristics, as reported in Chiong 2011, were comparable between groups; no other sources of bias identified."
Q,"Baseline characteristics, except for age, sex, and TD scores, not reported per intervention group."
N,Baseline data differences across groups for several important parameters (e.g. physical functioning: ACT group 39.17 (15.65) and RELAX group 53.77 (26.66))
Q,Baseline data differences between groups for anxiety (7.3 in exercise group vs 8.7 in control group) and mental fatigue (6.3 vs 5.6)
Q,Baseline data similar in both groups
Q,Baseline data similar. No evidence of other bias
Q,Baseline demographic and infertility characteristics comparison not reported
P,Baseline demographic and infertility characteristics similar in both groups
P,Baseline demographic and infertility characteristics were similar between the 2 groups.
P,Baseline demographic characteristic (age) was similar between the groups
P,Baseline demographic characteristic (age) was similar between the treatment groups
P,Baseline demographic characteristics balanced between groups
P,Baseline demographic characteristics similar between the two groups
P,Baseline demographic characteristics similar between treatment groups
P,Baseline demographic characteristics similar between treatment groups
P,Baseline demographic characteristics similar between treatment groups
P,Baseline demographic characteristics similar between treatment groups
P,Baseline demographic characteristics similar between treatment groups
P,Baseline demographic characteristics similar between treatment groups
P,Baseline demographic characteristics similar between treatment groups
P,Baseline demographic characteristics similar between treatment groups
P,Baseline demographic characteristics similar between treatment groups
P,Baseline demographic characteristics similar between treatment groups
P,Baseline demographic characteristics similar between treatment groups
P,Baseline demographic characteristics similar between treatment groups
P,Baseline demographic characteristics similar between treatment groups
P,Baseline demographic characteristics similar between treatment groups
P,Baseline demographic characteristics similar between treatment groups
P,Baseline demographic characteristics similar between treatment groups
P,Baseline demographic characteristics similar between treatment groups
P,Baseline demographic characteristics similar between treatment groups
P,Baseline demographic characteristics similar between treatment groups
P,Baseline demographic characteristics similar between treatment groups
P,Baseline demographic characteristics similar between treatment groups
P,Baseline demographic characteristics similar between treatment groups
P,Baseline demographic characteristics similar between treatment groups
P,Baseline demographic characteristics similar between treatment groups
P,Baseline demographic characteristics similar between treatment groups
P,Baseline demographic characteristics similar between treatment groups
P,Baseline demographic characteristics similar between treatment groups
P,Baseline demographic characteristics similar in both treatment groups
N,"Baseline gender imbalance. Participants in the ketoconazole group seem to be taking a greater number of concomitant medications, suggesting that they may have more severe or complex illness. Those in the ketoconazole group had higher baseline cortisol levels"
N,Baseline imbalances were reported. There were differences in vegetable consumption at baseline
N,Baseline values of glucose insulin ratio were significantly different between groups despite randomization
P,"Because of the nature of the intervention, nursing homes were randomised before recruitment of all participants and surrogate dyads."
P,"Biases could have arisen from reported behaviours and information on nutrient intake. However, effect on LFA and WFA was likely to be low. Unclear if the participants benefited from other ongoing interventions during the study period."
Q,"Blinding was broken when a participant relapsed, but this is not a problem for our primary outcome response to treatment"
Q,Both groups had similar socio-demographic characteristics
Q,"Both groups were similar with respect to participants' characteristics, and number and quality of embryos transferred but HCG was administered on different days, although this was said not to have affected the outcome of the trial"
Q,CAPD schedules were not provided
N,Children in the intervention group had significantly lower intake and liking than the control group at baseline (i.e. baseline imbalances)
P,Clinical training and treatment adherence monitoring were reported with 5% to 10% of all sessions were rated for adherence in addition to weekly group supervision for trial therapists
N,"Clinicians were able to contribute to the endpoint multiple times, number of 
insertions performed by clinicians varied from nurse to nurse. This study was 
funded by Smiths Medical, the manufacturer of both the blood control and 
standard PIVCs that were evaluvated. The co-author, Laura Seiberlich, is an 
employee of the study sponsor."
N,Clozapine was titrated to 400 mg/d within 10 days. Such a fast dose increase can be accompanied by a higher rate of adverse effects.
Q,Co-administration of 10 mg lorazepam 30 min prior to procedure
N,Co-administration of intracervical block in some women
Q,Co-administration of lorazepam 10 mg orally
Q,Coagulation group was heavier than ligation group (180 vs 160 pounds) and had had more previous abdominal operations (12 vs 8)
Q,COI and funding not stated
P,COI none: no statement on funding
P,COI not reported No concomitant procedures
Q,COI or funding statement not included
Q,COI or funding unstated
P,COI or funding unstated
Q,Comment: 10 children were not enrolled because the study team was not contacted; this could potentially have biased participant selection.
Q,Comment: 24 children were not enrolled because the emergency department failed to contact the study team; this could potentially have biased participant selection
Q,Comment: 33 children were not enrolled because the study team was not contacted; this could potentially have biased participant selection.
Q,"Comment: age, sex, number and location of lesions similar between the two groups, but no information reported on potentially prognostic baseline characteristics, such as size of lesions."
Q,"Comment: although the baseline characteristics were broadly similar, a greater proportion of patients treated with honey were admitted to hospital within 1-8 h of the burn (65%) compared to the SSD group (11%). At baseline, 70% and 82% respectively had positive swabs for bacteria. The study seemed to be free from other forms of bias."
Q,"Comment: authors state that for LRYGB they were in the early phase of the learning curve, whereas for LAGB approximately 150 people had been operated by the senior author"
Q,"Comment: baseline anxiety levels were not assessed -hence the spread of baseline anxiety between the study arms was not known. Bearing in mind that clonazepam is an anxiolytic drug which was noted to have a systemic uptake within the participants, the presence of baseline anxiety is a potential confounder and should have been taken into account (potential omitted variable bias) Heckmann"
N,Comment: baseline imbalance in croup score
N,Comment: baseline imbalance in croup score
N,Comment: Baseline imbalance was reported; mean age and duration of symptoms were different across groups
P,"Comment: baseline inequalities in gender and age are present, however randomisation appropriate"
N,"Comment: baseline inequality in OHIP and VNS present between infrared and placebo groups Study authors did not assess OHIP-14 at 11-week follow-up, but did assess VAS and VNS"
Q,Comment: Data for the placebo group are unavailable. This study receivedfundsfrom a company that produces paracetamol
P,Comment: data reported for all outcomes.
Q,Comment: discrepancy between baseline ages of participants when comparing text and table data
Q,"Comment: errors in reporting within paper (flow diagram, and n values), although clarified by authors in correspondence; data received from study authors revealed a baseline imbalance in relation to the VAS scores between the 2 study arms however randomisation process conducted appropriately"
Q,"Comment: extent of vitamin supplementation unclear: stated in discussion that LSG group did not require supplementation but implied in methods section that they did receive supplements for at least 6 months. Overall, supplementation was more extensive in LRYGB than LSG group"
Q,"Comment: few baseline characteristics were reported, so there was insufficient information available to judge whether any important form of bias existed."
P,"Comment: given that participants had a mean of 5 years duration of BMS, 1 week treatment duration is very short"
P,Comment: ICC done and adjustment for clustering
N,"Comment: In addition, villages selected for intervention group were more accessible to study team. This could have introduced biases due to unknown factors associated with ease of access"
Q,Comment: inadequate information provided.
