class,text
Q,"""a randomised, double-blind, placebo-controlled study was carried out on 556 girls aged 12-21 yr""."
Q,"""A randomization envelope was opened to reveal which side wall was to be covered"""
Q,"""A sealed envelope disclosed assignment of which side was to be treated with the adjuvant therapy"""
Q,"""A sealed envelope disclosed the assignment of which side was to be treated with Interceed"""
Q,"""A sealed envelope was then opened revealing which of the side walls was to receive Interceed"""
Q,"""A staff member drew names from a canister and without looking at the names, assigned them to experimental and control groups""."
P,"""A telephone-based central service was used to randomly assign eligible patients to receive a single dose of oral treatment or IM injection."" (p.387)"
Q,"""A total of 88 consecutive women undergoing outpatient hysteroscopy were allocated in a double-blind manner to one of two groups using a pre determined randomization code."""
P,"""A web based program generated a unique number with allocation code after entry of the patient’s initials and date of birth. Neither the recruiters nor the trial project group could access the randomisation sequence"""
Q,"""Active (mefenamic acid 500 mg) and placebo tablets, which were identical in appearance, were packaged in coded bottles, randomisation being provided by the manufacturer."""
Q,"""After completion of reconstructive uterine surgery, subjects were assigned to the treatment in a 1:1 ratio using a randomization list with random permutated blocks, length of 4"" Did not state methods of allocation concealment in the text"
Q,"""After this baseline evaluation, patients were randomly assigned to either the intervention or to the control group."" No details given on method of allocation concealment."
P,"""All members of the trial team were unaware of allocation until the data had been cleaned and locked."""
P,"""Allocation concealed placebo-controlled trial."" Method of randomisation not reported."
P,"""Allocation to the groups was concealed from both researchers and patients. The randomization sequence was placed into sealed, numbered opaque envelopes that were only opened once the consent form was signed"""
Q,"""Allocation was not concealed. However, I believe that in the daily rush of seeing participants, most of the GPs were unlikely to have had time or energy to look at the patient's family number in order to work out to which group the patient had been randomised."""
P,"""An independent research assistant at a distant site used computer randomization to allocate general practitioners to intervention or control group and this was concealed until the interview began."""
P,"""As the numbers were generated, each was placed in a sealed envelope. They were stored in a locked drawer in my office. As participants completed their baseline interview I was given their names and opened the next envelope in the numerical sequence."" Dodge JA (email communication)"
P,"""Assignment from a random code maintained in hospital pharmacy"" - probably remote allocation"
P,"""assignment was performed immediately before surgery after consent using an oA-site computer-generated code that was unavailable to study staA"""
P,"""At enrolment, each subject was assigned the next sequential subject number and received study product of the treatment code assigned to that subject number according to a preprinted randomisation allocation list"""
P,"""At enrolment, each subject was assigned the next sequential subject number and received study product of the treatment code assigned to that subject number according to a preprinted randomisation allocation list"""
Q,"""Before beginning the study, a treatment randomisation scheme was generated. Patients were randomised in blocks of two to provide balance with respect to the left and right ovaries. Randomised treatment assignments were placed in sealed envelope for each patient thereby blinding the surgeon to the treatment assignment during surgery"""
Q,"""Blinded randomization with blocking was used, and patients were assigned to receive either control therapy or the new therapy"""
P,"""blindly assigned (1:2 ratio) using computer generated random numbers either to integrated care (IC) or to usual care (UC)."""
P,"""Both patients and physicians were blinded to the group allocation and all medications were dispensed by the center's pharmacy and added to the patients' regular treatment regimens""."
P,"""Boxes were consecutively numbered, sealed, opaque, and identical appearance and weight; on the outside was a form with questions to be completed by the attending doctor while ""blind"" to the contents of the box."" (p.2)."
P,"""cards indicating allocations were placed in a serially numbered, sealed 
opaque envelope?"" 
Adequate allocation concealment."
P,"""cards indicating allocations were placed in a serially numbered, sealed 
opaque envelope"""
P,"""Cards were sealed in consecutively marked envelopes."""
P,"""Central consultation was used for allocation of patients"""
Q,"""Central randomisation to each group was applied by use of a dynamic balancing algorithm to obtain a good balance between groups in terms of the stratified factors. Randomisation was done centrally by members of the Japan Multi-National Trial Organisation (JMTO) data centre at the Translational Research Informatics Centre, Kobe, Hyogo, Japan"""
P,"""Central randomisation was carried out by the FinnBladder secretary."""
P,"""code supplied in sealed envelopes, opened at time of enrolment"", ""drugs dispensed in sealed envelopes"""
P,"""coded drug syringe labels, stored in sealed, sequentially numbered randomization envelopes"". Pharmacist took next sequential envelope, prepared assigned drug, and attached coded label before sending to clinic"
P,"""computer generated list using serially numbered opaque sealed envelopes"" – ""blindly allocated"""
P,"""concealed allocation schedule"" prepared remotely"
P,"""concealed allocation"""
P,"""concealed in sealed dark envelopes until intervention was assigned"""
P,"""concealed in sealed dark envelopes"""
P,"""Concealed in sealed envelopes."""
Q,"""Concealed randomization list,"" method not reported."
P,"""concealed until groups assigned"""
P,"""concealment of treatment allocation by use of sealed opaque envelopes that were given to a third party (nurse) who assigned patients to study arms; group A (letrozole) or B (LOD)""."
P,"""Dark envelopes were used, so their content could not be seen against bright light. Each envelope and allocation was sequentially numbered to prevent patients from being randomized out of sequence. Envelopes were not allowed to be opened in advance and were opened only by a nurse not involved in the trial"""
Q,"""Double blind"""
P,"""Double blind"". ""Variable transition to active treatment strategy…thereby blinding the onset of active treatment to reduce the patient's expectation of experiencing side effects"""
P,"""Double blind"". Study medication in capsules…or matching placebo'"
P,"""Dr. Joseph Levin was the control psychiatrist who knew what the patients were receiving, according to a random allocation list"" (letter from the authors). It appears that other members of the team were blind to allocation."
Q,"""Drugs were enclosed in sequentially numbered, sealed envelopes and were kept with the attending nurse."""
Q,"""Drugs were enclosed in sequentially numbered, sealed envelopes and were kept with the attending nurse."""
Q,"""Each patient was randomly allocated to receive either lignocaine 1 % or normal saline intracervically. Randomization was performed using a predetermined randomization code in a double blind fashion."""
P,"""Each patient's study drug regimen was unknown until the time of randomisation"""
P,"""Eligible consenting patients were randomly assigned to treatment groups by the MRC Clinical Trials Unit by a minimisation procedure, with stratification for surgeon, distance of distal tumour extent from the anal verge, and WHO performance status."""
P,"""Enrolment was carried out by HB, who, along with FE, was masked to group assignment."" ""Only one investigator (HB) was involved in the randomization process, which employed the random number generator in Microsoft Excel for Windows XP. Odd and even numbers were used to identify group."" ""Investigators and participants do not know which symbol represents the placebo tablets, and which represents the active formulation."""
N,"""Ethical committee approval was obtained at both hospitals and the inclusion of a group who did not receive absorption limiting treatment was also approved at Derby."" The above makes it clear that for allocation to the no intervention group there was no concealment that this was only possible at 1 hospital. Otherwise randomisation process not detailed enough to determine if there was allocation concealment."
N,"""Families enrolled in PAT were assessed for eligibility and willingness to participate by parent educators."" Contact with the author indicated that parent educators were aware of site allocation when they were enrolling participants to the trial"
Q,"""Forty-two patients were included in the study and were randomised into two groups"" Comment: No information was reported on the method of allocation concealment"
P,"""Immediately after enrolment, a study investigator opened the sequential envelope in the presence of a second investigator and revealed the randomisation arm.”"
P,"""Investigators provided the patient's details to the central registration centre 
through a web-based registration system. After an eligibility check, patients 
were randomly assigned to receive FOLFIRI or IRIS at the central. Assignment 
of patients was concealed from the investigator"""
Q,"""Lidocaine and placebo were packaged in identical bottles and could not be differentiated."""
P,"""Lists linking the study number to the treatment were kept in sealed envelopes and encrypted computer files."""
N,"""Made up slips of paper with numbers on them, folded them and put then into a hat, shook the hat, reached in the hat (without looking), and picked a slip out."""
P,"""Medication and placebo were dispensed by the hospital’s pharmacy and added to the patients’ ongoing treatment regimen."""
P,"""numbered masked and sealed envelopes"""
P,"""Only the hospital pharmacist had access to the drug code before completion of the trial..."""
Q,"""Only the hospital pharmacist had access to the protocol code before completion of the study"""
P,"""Only the hospital pharmacist routinely had access to the protocol code before completion of the study"""
P,"""Opaque envelopes were numbered and sealed containing the allocation information given to a nurse who assigned the patients to study arms of treatment"""
P,"""Opaque sealed envelopes"" - probably done"
P,"""packages of medication were identified only by a code which was kept in the pharmacy until the conclusion of the study"" (p.298)."
Q,"""Patients meeting the inclusion criteria and completing an informed consent form were stratified by lesion size and randomly assigned to one of three treatment groups"". No information regarding allocation concealment reported"
Q,"""Patients were allocated blindly and at random to the standard treatment or to cadexomer iodine."" The method of allocation concealment was not stated"
P,"""Patients were allocated to the two treatment groups by a simple randomization method (closed envelopes)."""
Q,"""Patients were aware of which group they had been assigned to."""
P,"""Patients were randomized individually to one of eight conditions by the second author using a random number generator but were not blinded to condition (presence or type of survey administered)"""
P,"""Patients were stratified into medium-risk (RA WIS score 10 and 17) or highrisk (RA WIS score 17) groups. Then within these strata, patients were randomly allocated in equal numbers to the occupational therapy or usual care group. The allocation procedure was completed in a blinded manner by an independent research nurse, using a sealed envelope method."""
P,"""patients were then allocated a code number according to sequence of selection for the trial. for each number there was a double sealed envelope that contained a paper stating which treatment the patient should receive. The sequence of treatments was randomised, and the code of randomisation was not available to the investigators"""
P,"""Pre-packed treatment kits [...] contained either droperidol (10mg in 2ml) or haloperidol (10mg in 2ml) [...] transferred into vials identical"" (p.224)."
P,"""Random allocation was based on a blocked schedule using numbered, sealed, opaque envelopes"""
P,"""randomisation lists were kept in locked files not accessible to blinded personnel"""
P,"""Randomisation lists were kept in locked files not accessible to blinded personnel"""
Q,"""Randomisation was achieved with sealed envelopes containing computer generated block randomisation numbers."""
Q,"""randomisation was by sealed envelope"", but it was not reported whether the envelopes were opaque or sequentially numbered"
P,"""Randomisation was carried out by a central study secretariat"""
P,"""Randomisation was carried out by a central study secretariat"""
P,"""Randomisation was carried out by an independent institution""."
Q,"""Randomisation was done by opening sealed envelopes containing computer generated block-randomisation numbers."""
Q,"""Randomisation was done by opening sealed envelopes containing computer generated block-randomisation numbers."""
Q,"""Randomisation was done using a computer generated random number table."""
P,"""Randomised by central computer"""
P,"""randomised in consecutively numbered sealed opaque envelopes"""
P,"""randomization numbers that correlated with the assigned study interventions were concealed in opaque envelopes""."
P,"""Randomization was completed and allocation concealed prior to enrolment."""
P,"""Randomization was conducted via a centralized call-in system and was organized by study center using permuted block randomization""."
P,"""Randomization was conducted via a centralized call-in system and was organized by study center using permuted block randomization""."
Q,"""Randomization was conducted with sealed envelopes containing computer-generated randomization numbers."""
N,"""Randomization was done by the pharmaceutical company."" ""Allocation concealment was accomplished centrally by the company, not broken until after all data were collected."" The pharmaceutical company appeared to have been responsible for allocation concealment. There were no details as to whether sequentially number opaque envelopes were used."
P,"""Randomization...was performed by the investigational pharmacist within 24 h of presenting with a confirmed diagnosis..."""
P,"""Randomized through phone...by the involved statistician with respect to the stratum pulmonary/non-pulmonary ARDS"""
P,"""randomly assigned to one of two treatment groups with the use of sealed envelopes"""
P,"""Research staE recruiting practices are unaware of the next allocation in the sequence at the time of recruitment."""
P,"""Schedule maintained by hospital pharmacy"""
P,"""sealed envelope containing numbers from the computer generated random table"""
P,"""Sealed envelopes with treatment allocation instructions were opened on the day of embryo transfer by a nurse who assigned participants to their groups"""
Q,"""Sealed envelopes"", but no mention of opacity"
Q,"""Sealed envelopes"", but no mention of opacity"
P,"""Sealed envelopes""."
P,"""Sealed opaque and sequentially numbered envelopes."""
P,"""Sealed opaque envelopes were used for allocation"""
P,"""Sealed protocol forms were centrally randomised."" Comment: Allocation concealment incompletely described but likely to have been present."
P,"""sealed, sequentially numbered opaque envelope"" provided by FHI"
P,"""Selection into the groups was performed by a research nurse using a series of consecutively numbered sealed opaque envelopes (one for each category of peak serum E2 level), so the sequence of allocation was concealed"""
P,"""Sequence was concealed—opaque consecutively numbered envelopes—until intervention was assigned; a study nurse generated the allocation sequence, enrolled the participants, and assigned participants to their group"""
P,"""Sequentially numbered and sealed opaque envelopes"""
P,"""sequentially numbered opaque sealed envelope"""
P,"""sequentially numbered opaque sealed envelopes"""
P,"""Sequentially numbered, opaque, sealed envelopes"""
P,"""Sequentially sealed opaque envelope ...numbered 1 to 100"""
P,"""subject-specific bottles based on randomisation schedule"""
P,"""Technique assignment was written on a card placed in the sealed opaque envelope""; the ""next consecutively numbered envelope"" was allocated"
Q,"""The 100-unit vitamin E capsules were purchased from local drugstores, and fennel extract capsules called Fenalgin and placebos with completely identical appearances and special coding for researchers were provided by Barij Essence Pharmaceutical Company."" Comment: the study authors provided insufficient information regarding the allocation concealment method."
P,"""The administered drugs were prepared in the pharmacy using a computer generated randomisation code."" (p.745)."
Q,"""The allocation of preparations was carried out with a random criteria"" (translated from German) Comment: no statement regarding the group allocation process"
P,"""The allocation of treatment codes A and B to vitamin A or placebo capsules was done by the Sight and Life Task Force, Hoffmann-LaRoche (Basel, Switzerland), who prepared the capsules."""
P,"""The allocation sequence was generated by Baxter, using an interactive voice 
response system with the random number generator algorithm of Wichmann 
and Hill, as modified by Mcleod"""
P,"""The allocation sequence was generated using serially numbered, sealed, opaque envelopes, prior to the study by two persons independent of the study"" Comment: This was judged to be a satisfactory method of allocation concealment"
P,"""The allocation sequence was kept locked and unavailable to the administrative staH until the time of assignment."""
Q,"""The allocations placed into opaque sealed envelopes."""
P,"""The anaesthesiologist assistant nurse, who opened sealed opaque envelopes containing the randomization result, allocated patients into each group."""
P,"""The assigned allocation was contained in an opaque envelope opened by a research nurse after the consent was obtained."""
P,"""The case allocation was concealed in sealed envelopes and the mode of analgesia revealed to case anaesthetist and patient after the patient was included in the study.”"
P,"""The choice of the catheter was randomised by using a single blinded envelope method"""
P,"""The health visitor opened an opaque, sealed, and numbered envelope containing the allocation"" (Cupples 1994)"
P,"""The hospital pharmacists were also responsible for issuing identical, coded medication bottles containing identical tablets of gabapentin or placebo"""
Q,"""The patients were randomised according to an odd or even unit record number."""
Q,"""The pelvic sidewall to be covered was determined randomly using sealed envelopes"""
Q,"""The project coordinator assigned participants to treatments in the order that they consented, and the coordinator was the only staff person other than therapists with knowledge of group membership""."
N,"""The random allocation sequence was concealed until the interventions were assigned"""
Q,"""The random assignment of one ovary for wrapping with Interceed was revealed to the surgeon after a coin toss"""
P,"""The randomisation codes were concealed for the entire trial duration and only revealed after completion of data analysis."""
Q,"""The randomisation process was under the responsibility of one of the hospital pharmacists who was not otherwise involved in the trial"""
P,"""The randomisation sequence was computer generated and kept concealed by the first author who played no role in patients’ recruitment."" “Other co-authors -indulged in patients’ recruitment and consenting to the study- were continuously updated regarding number of participants with assigned sequence. They collaborated together to allocate the next available number to each participant in order of her enrolment in the study. Subsequently, the first author was contacted and asked to release the sequence (order of drug intake, uzara/ibuprofen or vice versa).”"
P,"""The randomisation sequence was incorporated in to the preparation and labelling of materials, and each eligible child received the next available study number at a site"""
P,"""The randomised group codes were placed into sealed, opaque envelopes by another independent person. Participants, data entry personnel, and data analysts were blinded to treatment allocation."" ""participants randomly selected a sealed opaque envelope with their randomisation code inside"""
P,"""The randomization list was locked in the office of the principal investigator (T.J.M.), who was engaged neither in treatment nor in study assessments"" (p.125)."
P,"""The randomizations schedule was kept within the Health Services Delivery Research Unit of the St. Joseph's Community Health centre throughout the trial."""
P,"""The sequence, stored in closed envelopes, was opened following the pre-established order."""
P,"""The study capsules were manufactured by Tischon Corporation"
P,"""The study coordinator and/or other personnel administering the questionnaires did not have access to the randomisation list to remain masked"""
Q,"""The study was opened, randomised and controlled"". Report contains no statement regarding allocation process"
P,"""The trial investigators received consecutively numbered envelopes corresponding to the envisaged number to be recruited. An envelope was allowed to be opened in chronological sequence to assign treatment group only after successful transfer"""
P,"""the type of venous catheter to use was determined randomly in a three ball ballot box."""
Q,"""The women were randomised prospectively double blind into two groups."""
N,"""These candidates were divided into two groups on the basis of their ID numbers; the plug (even numbers) and non-plug (odd numbers) groups"" (p 209) ""They were randomly divided into a plug and a non-plug group"" (p 208)"
Q,"""They were randomized into two groups using a computer generated block number and put inside a sealed envelope."""
P,"""Thirteen group practices and their primary care physicians (mean size, 5) were assigned randomly to intervention or control arms."""
Q,"""this information was placed in an envelope and delivered to the surgeon"""
P,"""Three sealed copies of study codes were prepared and kept at WHO in Geneva, with the ethics committee of the All India Institute of Medical Sciences in New Delhi, and at the data management centre in Baltimore. Access was limited to one data manager, who had no direct involvement in the data analysis, and who prepared information requested by the treatment effects monitoring committee."""
P,"""To ensure the concealment of allocation, this third party used a protected computer database for the randomization list."""
P,"""Treating psychiatrists were blind to the sequence in which the drugs were to be given to the patient."""
Q,"""Treatment allocation was obtained by calling the ELCWP (European Lung Cancer Working Party) data centre"""
P,"""Treatment assignment was indicated inside sealed, sequentially numbered opaque envelopes, opened … at the time of randomization."""
P,"""Two hundred seventy identical sealed envelopes were prepared by one of the investigators (M.I.M.) and kept in the unit pharmacy. When the woman was eligible and agreed to participate, she was instructed to select only one envelope only once to determine the group to which she was assigned. The randomization key was kept with the pharmacy director and was not opened until after statistical analysis"""
Q,"""Ulcers were cleaned with saline and the dressing applied according to randomization using a sequential system of sealed envelopes with treatment allocation by random number table"" No statement whether envelopes were opaque or not"
P,"""using a sealed opaque envelope technique with blocked allocation"""
P,"""using sealed opaque envelopes numbered sequentially and containing the assignment"""
P,"""using the closed envelope method"""
N,"""Women drew their treatment assignments from a deck of cards,” some deviations."
P,"""Written allocation assignments were sealed in individual opaque envelopes marked only with study identification numbers"" (p 2544)."
P,"“…using a computer generated list, with a different person in charge of this task than of the previous tasks”"
P,"“A block-randomization procedure was used to generate the treatment allocations: for every 4 successive patients, 2 received BTDS in the first phase and 2 received BTDS in the second phase. Study monitors, investigators, coordinators, pharmacists, patients, and sponsor clinical research personnel remained blinded to treatment allocation throughout the conduct of the study”"
P,“A sealed code kept in the pharmacy” was used
P,"“After informed consent and 1-week baseline pain recording, a 2-stage randomisation occurred via an independent third party using a computer-generated list. Patients were first randomised to treatment type and consultation type, and then to specific practitioners.” (page 456, section 2.1, Randomisation) Comment: It seemed to be central randomizations, so the allocation concealment should be assured."
Q,“After the intake was completed the intervention specialist opened a sealed envelope which indicated the subject’s group assignment” (p. 1103)
P,“Allocation was concealed in sealed envelopes” (study author provided information)
P,"“Before the recruitment phase, envelopes containing the protocol materials were prepared. Each envelope was sealed and numbered sequentially and contained an allocated treatment. After the participant agreed to participate in the trial, the envelope in the sequence was opened by the nurse who administered the medications.” “Twenty patients were allocated to the placebo group, and 20 were allocated 
to the melatonin group.”"
Q,"“Before the start of the study, subject numbers were... placed in sequentially numbered sealed enrolment packets” (p. 541)"
Q,"“Codes were held in numbered, sealed envelopes by the interviewer” (p. 366)"
P,“Concealed randomization was performed using a centralized telephone system”
Q,"“Each medication package was placed on a separate box, coded by letters A and B, and was given to each participant.” Comment: the study authors did not describe the method of allocation concealment in sufficient detail."
P,"“Enrolment packets of the same size and thickness were placed in opaque envelopes, sealed and locked in a drawer in consecutive order by participant number” (p. 1754)"
Q,"“For both groups, questionnaires 1 and 2 and drug packages with randomization codes of A and B were dispensed.” Comment: the study authors provided insufficient details on how to maintain blinding to treatment allocation."
P,"“Individuals ... were randomised equally, with use of an interactive voice response system, to receive a single dose of CCIV, TIV, or placebo.”"
N,“Investigator assigned the participants to interventions but the participants were not aware about the treatment.” “the participants were blinded to the treatment allocation.” Comment: the investigator knew in advance what intervention a particular participant would have.
N,“Nurse opened a sealed envelope” (p. 1445)
P,“Only the anaesthesiologists knew the femoral nerve block method used on each patient” (study author provided information)
Q,“Opaque envelopes marked with a unique patient identification number prepared according to randomisation list” (p. 1335)
Q,“Participants and researchers were kept blinded to treatment allocation” Comment: there were insufficient details on how to keep participants and researchers blinded to treatment allocation.
Q,"“Participants were first randomised to the screen-only or assessment condition by the study interviewer, who drew an envelope [does not specify sealed or opaque] with the condition assignment. The envelope of those receiving an assessment contained a second envelope, which was opened by the interviewer following assessment to determine whether the participant was assigned to the intervention condition” (p. 984)"
P,"“Participants were randomly allocated to EA in combination with patient education (n = 15) or hydrotherapy in combination with patient education (n = 15) as a control by using sealed, unlabeled envelopes.”In response to an email request for further information about this, the author 
stated that the envelopes were opaque and placed in a dark box and then selected by the trial participants, and that the process was administered by an 
independent person not responsible for determining the eligibility of the participants."
P,“Patient medication kits were assigned unique 4-digit treatment numbers according to the randomization code”. Central randomization by the sponsor
Q,“Patients were then randomly assigned ... based on condition assignments contained in sealed envelopes” (p. 270)
P,“prepared concealed randomisation chart that was located in the medication supply room” “study drug assignment was available only to the L&D nurse who prepared the medication”
P,"“Random group assignment was assured by card selection from sealed, opaque envelopes with group assignment derived from a random number table.”"
Q,“Randomisation codes were distributed to each PCU in sealed envelopes” (p. 264)
P,"“Randomisation lists and four sets of randomisation were prepared using double, opaque envelopes”"
P,"“Randomisation was done by an administrator...The administrator was only aware of the code number, name, date of birth, and stratification criteria for each patient.”"
P,“Randomization was implemented through an interactive voice response system (IVRS) that assigned patients to blinded study medication”
P,“Randomization was performed by the NIH Pharmaceutical Development Service”
P,“Sealed envelopes” were used
P,"“Study clinicians were blinded to patient randomisation prior to completion of baseline assessment. Treatment assignment was generated offsite and was provided to study clinicians in sealed opaque envelopes” (Roudsari 2009, p. 287)"
P,"“Study personnel entered patient’s initials, date of birth and gender, and participating individuals were assigned a study identification number along with their allocation to either the intervention group or control group.”"
P,"“Subjects were assigned centrally within blocks and stratified within each site 
by age ≤49 and >49 years, and history of prior influenza immunization within 2 
years.”"
P,“The assistant put the drugs of each number in an envelope with the respective number written on the envelope and 92 envelopes were given to the researcher to pass them to the corresponding participants.”
Q,“The group assignment was placed into a sealed envelope by the data manager and was not available to those recruiting subjects until after informed consent was obtained” (p. 132)
P,"“The list was prepared and maintained by an independent statistician at the clinical trial unit. Allocation was concealed in sequentially numbered, sealed opaque envelopes.”"
Q,"“The participants were allocated randomly into one of the following groups”. “In regarding the blinding process, the researchers and the participants were uninformed of allocating manner of each group and a third one that did not involve in analysing and interpreting, etc., allocated the participants in groups and allotted a code number to everyone.” Comment: there was insufficient detail regarding whether allocation sequence 
was concealed or not."
Q,“The patients were randomly allocated to 1 of the 4 groups by a computer-generated drawing lot.” “Sedative agents were prepared and administered by a trained nurse under the supervision of the attending pediatric neurologist in all patients.” It was unclear whether random sequence was generated independently from allocation.
P,"“The pharmacist conducted randomization of participants by using a random and equal block size for placebo, DHEA and PREG30 arms (with ratio 1.5:1 for PREG30 and PREG200 arms, respectively) and conducted blinding of the trial. The patient allocation details were coded and kept confidential until the trial was completed” (pg 1353)"
P,“The randomization code was available only to the midwife who had not participated in the process of patient recruitment. The code was disclosed to the researchers when the statistical analysis had been completed by researchers.”
P,"“The randomization code was prepared by a statistician, employed by CSL 
Limited, with the use of SAS software (version 9.1.3; SAS Institute, Cary, NC, 
USA), using simple block randomization to maintain approximate allocation 
balance."""
P,"“The randomization code was prepared by a statistician, employed by CSL 
Limited, with the use of SAS software (version 9.1.3; SAS Institute, Cary, NC, 
USA), using simple block randomization to maintain approximate allocation 
balance.”"
P,"“The randomization codes were kept secret during the whole study...”; “The placebo capsules had the same consistency, vehicle, coloration and flavour as the vitamin A capsules.”; ""The research members were only informed of the allocation of the supplementation groups after the completion of data analysis.”"
P,"“The study centre was located at the Bürgerhospital, Frankfurt am Main, and functioned as a central coordinating centre (headed by Ms Kufleitner). She randomised patients dynamically and communicated to the study practices whether a patient had been allocated to the intervention group or the control group”"
P,"“The trial used computer generated equal randomization and allocation ratio was 1:1 for the two groups. Randomisation and blinding was done by an investigator with no clinical involvement in the trial. Data collectors, outcome assessors and data analysts were all kept blinded to the allocation.”"
P,"“They were then randomised by numbered, sealed opaque envelopes to hexoprenaline or control groups.”"
Q,“Thirty percent of this people had grade 2 intensity of primary dysmenorrhoea and the rest had grade 3. They were allocated in one of the 6 treatment sequences randomly.” Comment: there were insufficient details on how to maintain blinding to treatment allocation.
P,"“Those who met the inclusion criteria, provided informed consent, and signed an agreement for randomizations were randomized using a central telephone randomizations procedure.”"
Q,"“To the children who were not sleepy or sleeping at the time of launch the examination nor had contraindications to the sedation, were administered 50 mg /kg of chloral hydrate in solution 5% or midazolam at 5 mg/ml dose parenteral solution 1 mg/kg, both rectally. Due to the small volume of midazolam it was diluted with 3 ml of solution of NaCl 0.9%, to avoid that it stays in the probe.” It is unclear whether allocation was concealed."
Q,"”Random orders were generated with computer software and assigned to a list of participant identification numbers”The random sequence was assigned to a list of participant identification number, but it is unclear if allocation was concealed.Provided by study author: ""Allocation was concealed to participants and teachers by assigning each child an ID number that was associated with their random order."""
Q,(Authors describe as a quasi-experimental design although appear to have randomised classrooms). There is no information provided about allocation concealment and therefore it is unclear if allocation was concealed
Q,"[Sequentially numbered, opaque, sealed envelopes] Judged at unclear risk because of the method of assignment (see above)."
Q,100 were randomly selected and randomly assigned to 2 groups
P,2 sets of random assignments in blocks of 4 for each centre were prepared by a statistician. Randomisation was carried out separately for bulbar- and limb-onset participants
P,a biostatistician had prepared the order from a random number table. A secretary unconnected with the patients had numbered the envelopes sequentially to prevent their rearrangement. Research nurse and researchers were not aware of block size and therefore could not predict the group assignments
Q,"A blinded staF member, who took no further part in the study, performed randomisation."
P,A closed opaque envelope containing the indication of group allocation was opened before the start of each surgical operation
P,A closed opaque envelope containing the indication of which surgical flap had to be used was opened before the start of each surgical operation
P,"A closed, opaque envelope containing the indication for which the magnification device was to be used was opened before the start of each surgical operation"
P,A key was provided by the statistical advisor to the nursing staff administering injections
P,A nurse not involved in participant care determined which numerical identifier was allocated to intervention or placebo
P,A priori prepared opaque and sealed envelopes
P,"A randomization number was assigned on day 1 of the double-blind phase via an interactive voice response system (IVRS) to encode the patient’s assignment to one of the two treatment groups, according to the computer-generated randomization schedule"
P,"A research nurse prepared all numbered, opaque, sealed envelopes"
P,"A research staG member…generated the random allocation in Graphpad software…concealing it from the investigators in sequentially numbered, sealed, opaque envelopes.”"
P,A researcher blinded to the allocation of the clinical service to study groups was responsible for recruiting and enrolling participants into the study
P,a sealed envelope containing the randomized group number was given to the patient to open
P,A sealed envelope was used.
P,"A statistician with no role in the study assigned the groups into sealed, opaque envelopes in sequential order"
P,A two-stage assignment was carried out using a double opaque envelope system. The first envelope indicated randomization to either minimal assessment (MAC) or assessed status (I or AC). The second sealed envelope (inside the first) distinguish between assessed controls and those participants eligible for an intervention (AC vs. I) (p. 892)
N,Absent
N,according to author
P,"According to the randomisation list, opaque, numbered, and sealed envelopes were prepared by an independent person."
P,Adequate
P,Adequate
P,Adequate
P,Adequate
P,Adequate
P,Adequate
P,Adequate
P,Adequate
P,Adequate
P,Adequate
P,Adequate
P,Adequate
P,Adequate
P,Adequate
N,Adequate
P,Adequate
P,Adequate
