class,text
P,"""double blind"", The medicine, starch or placebo (gastropine) was packed in gelatin capsules of similar appearance. The investigators did not know what medicines were given to patients, and the patients did not know what medicines they had taken"""
P,"""double dummy"""
Q,"""double- blind"", further details not reported."
Q,"""Double-blind randomized list"" Not specified"
Q,"""double-blind,"" Details not reported."
Q,"""double-blind,"" Details not reported."
Q,"""double-blind,"" Details not reported."
P,"""double-blind"" ""A placebo with an identical appearance to the risperidone dose was prescribed for the placebo group using the same dose schedule."""
P,"""double-blind"" ""identically appearing placebo"""
Q,"""double-blind"" Details not reported."
Q,"""double-blind"" Details not reported."
Q,"""double-blind"". Details not reported"
Q,"""double-blind"". Details not reported."
Q,"""double-blind"". Details not reported."
Q,"""Double-blinded""; no further details provided."
P,"""Drinks were prepared by an assistant and administered by the first author in a double blind manner"". ""The fine white L-phenylalanine powder could not be tasted or detected visually when mixed with the bright orange colored powder."" Thus, patients may have been blinded."
P,"""Drugs and placebos in exactly identical covering with codes only known to the researchers were given to the study samples."""
P,"""drugs placed in identical capsules"", ""matching placebo of nortriptyline"" to blind different dosing schedules"
P,"""endoscopic examinations were ultimately judged by an experienced endoscopist who was also not informed of the treatment"""
P,"""Endoscopies were performed by one of the authors, who was blinded to the clinical data, bacteriological findings and treatment regimen"""
P,"""endoscopy was performed at 3 month intervals by a gastroenterologist who was kept uninformed of the details of the patients' past medical histories"""
P,"""Gel was given prior to the investigation by a different operator from those who carried out hysteroscopy, and the patient, hysteroscopist and other staC were unaware of which gel had been used."""
P,"""identical appearing blue and grey capsules .... in accord with a double-dummy design"""
P,"""identical appearing placebos"""
P,"""identical capsules containing either selegiline 5 mg or placebo."" ""double-blind"""
P,"""identical capsules"""
P,"""identical capsules"""
P,"""identical capsules"""
P,"""identical placebo capsules"""
P,"""identical tablets"""
P,"""identical tablets/capsules containing active drug or placebo"""
P,"""Identical-appearing capsules containing placebo were used to blind the patients"""
P,"""identical-appearing capsules"""
P,"""identical, coded medication bottles containing identical tablets of gabapentin or placebo"""
P,"""identically appearing capsules"""
P,"""identically appearing capsules"""
P,"""identically appearing capsules"""
P,"""identically appearing placebo"""
P,"""In view of the double blind...both the active and the placebo infusions were coloured yellow..."""
N,"""Information shared with physicians and other health care providers was specific to intervention or control assignment, and direct health care providers were told the general purpose of the study but did not know specifically what the outcome measures were."" It was not possible to blind surrogates to the intervention."
P,"""Interviewers evaluating outcomes were blinded to the intervention group of participants and general practitioners at all times, and participants were unaware of the group allocation of their general practitioner."""
P,"""interviews carried out by a research assistant blinded to group assignment"""
P,"""investigator blinded clinical trial"""
P,"""investigator blinded"""
N,"""investigator-blinded"", further blinding details not reported"
P,"""matched placebo"""
P,"""matching placebo"""
P,"""matching placebos were supplied to maintain the double-blind nature of the study"""
P,"""Medication was provided in identically appearing 2cc. ampules each containing 4 mg's. Prior to the administration of the drug labels were removed by a person not involved either in the prescription or administration of the drug."" (p.968)."
Q,"""Neither operating physician nor patient was are of which study antibiotic was used""; however, no details on outcome assessors were provided"
Q,"""Neither patients nor physicians were blinded to allocated treatment."" We considered the study to have unclear impact on mortality outcomes"
N,"""No blinding procedure was planned for this study due to the complex management of the blinding procedures with two different routes of administration"""
N,"""No blinding was used during follow-up"""
P,"""Nurses who undertook the vaccination clinics were unaware of the household allocation to control or intervention group."""
N,"""open study"""
N,"""Open-label study"""
P,"""packages of medication were identified only by a code which was kept in the pharmacy until the conclusion of the study"" (p.298)."
P,"""Parenteral medication was prepared in advance by a member of staG who had no direct clinical responsibility for the patient."" (p.177)."
P,"""Participants and all study staff, except an unmasked investigator (A.B.) who inserted punctal plugs, were masked to treatment arms"" (p 239)."
P,"""Participants were randomly assigned to blind treatment."" Uncertain if personal were blinded."
N,"""Patient was informed about the allocated arm"""
P,"""Patients and investigators (or other personnel performing patient evaluations) were not aware of which regimen was being administered"""
P,"""Patients and their physicians were aware of the treatment assignment, but endoscopists and pathologists were not"""
P,"""Patients, researchers, and others involved in patient care were blind to study group; only acupuncturists and the designated research assistant were aware of which patients received true and which received placebo treatment"""
P,"""Patients, their gynaecologists, all investigators and evaluators were blinded to the random allocation throughout the study"""
P,"""Physicians and facilitators were blinded to the actual manoeuvres that would be included in the preventive performance index."""
P,"""Placebo and treatment capsules appeared identical. Preparation, randomisation and packing of capsules were performed at The Johns Hopkins University in the USA before shipping to HaTarea."""
P,"""placebo capsules were identical in appearance and taste"""
P,"""Prescribing clinicians were blind to group allocation"", blinding of participants and personnel was not possible due to the nature of the intervention."
Q,"""randomised double-blind study"""
Q,"""Randomization was performed using a predetermined randomization code in a double blind fashion."""
P,"""Raters, nurses and patients were blind to treatment. Two non-blind 'coordinators'... adjusted the oral dose of Li carbonate to aim at a serum concentration between 0.8 and 1.3 mM. Adjustment of U dosage was mirrored by a similar change for the 'placebo twin'"" ""At completion of the study, the patients, a psychiatrist and nursing staff involved in ratings were asked to guess the nature of the treatment block. There was a choice of 3 alternative answers: inactive tablets, active drug or uncertain. ""Analysis of the guesses made by staff and patients as to the sequence of treatments showed that correct guesses occurred randomly. Thus, despite inevitable cues from side-effects, it seemed that the double-blind nature of the study was preserved""."
P,"""results were not shared with the endoscopist"""
P,"""single blind"""
N,"""single-blind and controlled study"""
Q,"""single-blind"", but does not state if it was participants or researchers blinded; data entered on computer clinical tracking program"
N,"""single-blind"". As the participants were randomised to receive papaverine or not, neither the participants nor the study personnel could have been blinded."
Q,"""Single-blinding was achieved by keeping the person enrolling participants, study investigators, ultrasound technicians, and clinicians unaware of the type of protocol used"" Method of blinding not reported"
Q,"""StaD, patients, and all raters were blind to the drug group; one non rating physician and one nurse were non blind to dispense medication and monitor safety""; no further details were provided"
P,"""staff performing the endoscopic and bacteriologic assessments were unaware of the drugs the patient had been taking"""
N,"""Study drug was administered on an open-label basis"""
N,"""study medications were packaged in identical color-coded boxes"" (p.31); stated as double blind, however ""patients were instructed not to reveal their current treatment to the investigators"" (p.31); no information whether the blindness was effective."
P,"""supplied in identical capsules in blinded fashion"". ""All participants were supplied with an equal number of capsules""."
Q,"""The assessor was unaware of which side of the pelvis was the treatment side"""
P,"""The attending doctor, nursing staC and the women were all blinded to the identity of the medication used."""
P,"""The chart auditors were blinded as to the status of the practices and assessment of outcomes."""
Q,"""The clinicians and the laboratory staI were blinded to groups"" Participant blinding not reported"
P,"""The code was not broken until the woman had been classified as morbid or no-morbid and had been examined 6 weeks after surgery"""
Q,"""The current prospective blind study..."" Method of blinding not reported"
P,"""The doctor and the biological team performing the ART were blinded to group assignment"""
P,"""The ED [Emergency Department] psychiatrist who treated and rated the patient remained blinded to the identity of the patient's medication throughout treatment"" (p.336). [italic added by reviewers] ""Double blind"" - participant blinding not specifically mentioned."
P,"""the endoscopist was blinded to the treatment status of the patient"""
P,"""The investigator and staD were unaware of the antibiotic assignment"""
P,"""the investigator in charge of follow-up was"" blinded to the procedure"
P,"""The nature of the treatment was unknown to patients, bacteriologists, or clinicians, and the code was not broken until after the conclusion of the whole trial."""
P,"""The patients and the physician investigator were blinded to treatment assignment as long as the 24-hour assessment was not completed. The assessment was performed by the investigator and the nurse who administered the injection was not involved in the assessment process of the study."" (p.232)."
Q,"""The patients as well as the medical staC performing the hysteroscopy were unaware which gel had been used."" However the examiner performing the gel-instillation sonography (GIS) was aware of which gel had been used. Although the relevant intervention was blinded there is a high risk that the blinding could be broken, although the likely impact of this on the results is unclear."
P,"""The patients were randomly assigned to receive placebo or melatonin 2mg/ day, supplied in identical tablet form by Neurim Pharmaceuticals...Both patients and physicians were blinded to the group allocation and all medications were dispensed by the center's pharmacy and added to the patients' regular treatment regimens""."
P,"""The patients were.....treated in a double-blind manner..."
P,"""The randomization code was not broken until the last woman attended the clinic"""
P,"""The research assistant [rater], the administering physician, and the patient were all blinded to the drug delivered."" (p.745)"
Q,"""The second surgical team to assess adhesions was blinded to the initial surgical approach and the use (or not) of the ORC adhesion barrier"" Does not state method used to ensure blinding of outcome assessment by second surgical team. Unsure whether steps were taken so that surgeons who initially implanted the adhesion barrier were not the same as those who undertook subsequent surge"
P,"""The single acupuncturist was trained to perform the same procedures at each consultation and was instructed not to discuss any aspect of the treatment procedures with the participants, to ensure participant blinding and consistency of treatment."""
P,"""The study formulation and placebo tablets have been produced by Quest Vitamins Ltd, Aston Science Park, Birmingham, B7 4AP, and are identical in external and internal appearance, and taste. The manufacturer has allocated distinguishing symbols, μ and λ. The tablets are packaged in identical, sealed, white containers; the only difference being the symbol on the label. Investigators and participants do not know which symbol represents the placebo tablets, and which represents the active formulation."""
P,"""The study remained blinded until all women were examined at a follow-up clinic visit"""
N,"""The study was not blinded because the patients as well as the clinicians were aware of the treatment group"""
N,"""The study was not blinded in that physicians could be aware that a patient was a member of a family in the study if the patient mentioned that the family had received a letter."""
P,"""The study was open for participants but blinded for the healthcare workers responsible for caring for the patients."""
P,"""The subjects were randomised to treatment of 10mg per day of either escitalopram or matching placebo for the full 6 weeks of the study."" Study personnel and participants were blinded according to author communication."
P,"""The supplements and placebo, in identical opaque gelatin capsules, were packaged in individually coded blister packs in Baltimore."""
P,"""The test and placebo capsules were identical in size colour and shape."""
N,"""the treatment was revealed to both the investigator and the patient"""
P,"""The University of California, San Francisco Drug Product Services Laborato-ry provided melatonin (5 mg) and identically appearing lactose placebo cap-sules.""""Study staff, nursing home staff, and subjects were all blinded to melatonintreatment group assignment."""
P,"""The vaccination data were obtained through prechart and postchart reviews conducted at these sites by trained outside reviewers."""
Q,"""The women were randomised prospectively double blind into two groups."""
P,"""these tablets randomly contained either 50mg of levamisole or a placebo and were identical in appearance"""
N,"""This study was an open-label randomised trial."""
Q,"""This was a double-blind, randomized, placebo-controlled, parallel-group, proof-of-concept study."" No further information provided"
N,"""To maintain allocation concealment, patients were instructed not to inform the principal investigator or the research nurse about the type of care they received."" However, participants received many interventions in the control group as prescribed by the participating rheumatologists who were not blinded. de Buck 2005: ""Moreover, the rheumatologist was informed about the treatment allocation in a later stage, another factor that could have induced enhanced treatment or referrals in connection with the work problem in the usual care (UC) group. Indeed, participants in the UC group initially paid more visits to the rheumatologist than participants in the Vocational Rehabilitation (VR) group. The participants' participation in the trial could have made rheumatologists aware of their participants' problems at work, and if a patient was allocated to the UC group rheumatologists might have thought they needed to act on account of their patients. In addition, it is possible that participants who were allocated to the control group made an extra appointment with their rheumatologist to discuss their working problem and potential solutions."" Considering the high referral rate in the control group we think the contrast between treatment groups diminished (towards no effect), hence we judged high risk of bias."
P,"""To prevent bias, matching placebo tablets, which were identical in appearance, taste and odor, were used. The treatment was double-blinded."""
P,"""To provide a placebo control, the fellow eye was carefully manipulated in a similar fashion without actual insertion of any plugs. The patient was masked as much as possible to avoid visualizing the plugs during the insertion procedure."""
P,"""two experienced endoscopists, who were blind to the clinical data"""
P,"""unblinded third-party personnel, who played no role in evaluating patients, were trained to handle and administer injections in identical, unmarked syringes."" ""Investigators, patients, clinical carers and raters were blinded."""
P,"""using sealed envelopes.""...tablets identical in appearance...""...unblinding code following database lock..."""
P,"""Vitamin A and placebo were coded by a person who had no connection with the investigation and the dose was administered by an auxiliary nurse midwife who was not aware of the code."""
Q,"""Vitamin A capsules providing different doses were manufactured by Accucaps Industries (Windsor, Canada) (25,000 and 50,000 IU) and RpScherer (Aprilia, Italy) (200,000 IU), and were supplied to the project by the WHO."" Not enough detail to judge whether participants were blinded."
P,"""Vitamin A in vegetable oil and vegetable oil placebo were prepared by Hoffmann La Roche (Basel, Switzerland). An independent senior scientist packed and labelled the supplements, and did a block randomisation procedure (16 per block) to allow for possible effects of season of birth. Supplements or placebo were directly administered at home by field staff , apart from supplements at 2, 9, and 12 months, which were given at the clinic during follow-up. All members of the trial team were unaware of allocation until the data had been cleaned and locked."""
Q,"""Volunteers ... made a follow-up contact to ascertain whether immunization(s) were received."""
Q,"""We have studied, using an open, comparative study design, the efficacy of..."""
Q,"""With placebo blinding"" - probably double-blinded; no additional information on outcome assessor"
Q,"""Women were randomly and double blindly assigned."""
Q,"""Women were randomly and double blindly assigned."""
N,"“... two sedation methods, one oral and one intramuscular, were chosen ...” “... but a preference for CH developed in the nurses and technologists because of the patient discomfort from the dual intramuscular injections of AMPS.” No blinding, as intramuscular injection of AMPS cocktail and oral chloral hydrate differed in the nature and route of administration. The nurses and technologists were biased."
P,"“10-mg melatonin tablets (Sigma Chemical, Munich, Germany, provided batchby-batch certificates of analysis authenticating the purity of each batch) or a placebo with identical characteristics. The capsules were manufactured in such a way that the placebo and active treatment appeared to be identical.” “Other individuals who were involved in patient care were unaware of the treatment group to which the patients belonged.” “Two independent medical examiners who were blind to the group assignments were trained to administer the pain scales and to conduct the psychological tests.”"
Q,"“A double-blind, randomised, placebo-controlled study carried on 240 high schools female students with dysmenorrhea in Urmia city by dividing into four groups with 60 members.” “They received drug boxes each month, and for all of them, possible drug complications were described and asked them to mention any occurred complications.” Comment: it is unclear whether or not the appearance of the treatment to both groups was the same in all aspects (different form; tablet, capsule)."
N,"“A group of five female and two male research assistants were recruited and selected to do the screening, assessment and BAI at baseline, depending on their ability to apply research procedures and to conduct BAI... Research assistants conducted the motivational style BAI right after the assessment” (p. 1228)"
Q,"“A randomised, double blind study comparing FEO 1% and 2% with placebo”. Comment: there was no information on either the form of placebo, or the appearance of FEO and placebo. The study may not have accomplished blinding."
P,“Administration of medication was in a double-blind design” (pg 156)
N,"“After the well-child visit, parents received a randomized group assignment notification letter…”“Coaches worked with parents to address behavior change areas in order of parent preference, setting goals and discussing challenges and successes at subsequent sessions.” Participants were aware of their group allocation. Due to the nature of the intervention, staff would also have been aware of participant group allocation."
P,"“All of the capsules were made by Boo Ali Research Center of Qom city and were completely similar in shape. In regarding the blinding process, the researchers and the participants were uninformed of allocating manner of each group and a third one that did not involve in analysing and interpreting”."
P,“All patients received identical appearing capsules on a special ”blister pack“ medication card allowing the patient to take the medication on a twice-a-day schedule”
Q,"“All subjects were asked to bring their study medication to all visits, to allow compliance testing by tablet counting.” No description of placebo. Potential for unmasking as to intervention received. No specific information provided as to the blinding of outcome assessors (grading of fundus images, assessment of MPOD or visual function)."
N,"“Blinding was not feasible, either for participants and GPs, or for outcome assessment and statistical analysis” (p. 594)"
P,“Both patients and the rehabilitation staff were all blinded to the femoral nerve block protocol” (study author provided information)
P,“Double-blind study design” (pg 1352). Participants and study personnel blinded. “The patient allocation details were coded and kept confidential until the trial was completed” (pg 1353)
P,“double-blind trial” “who received identical capsules containing soy oil […]” .
Q,“Double” - both haloperidol and adjunctive benzotropine administered in same way across groups
Q,"“Double” - manufacturers controlled distribution of tablets to participants identiﬁed by numbers, tablets then administered by ward doctors"
Q,“Double” - no further details
Q,“Double” - no further details.
Q,“Double” - no further details.
N,“Double” - participants in all study groups received identical tablet regimens; 91% ward doctors and 89.5% ward nurses correctly guessed which participants were taking active medication
Q,"“Double” but with principal investigator, delegates and nominated psychiatrist in each centre not blind to allow dose adjustments according to monitoring of plasma haloperidol levels"
Q,“Double”: each treatment group given 10 capsules daily (haloperidol + placebo)
Q,“Double”: tablets in both groups identical in appearance.
N,“Double”:notedifferencesinrouteandfrequency of administration between group
Q,“Double”.
Q,“Double”.
Q,“Double”. Doses given to both groups in a single identical capsule daily
Q,“Double”ratersblindtooccupancy results.
N,"“Due study design, blinding could not be conducted for the individual study participant and the staff member providing the counselling session” (p. 245)"
N,"“Each medication package was placed on a separate box, coded by letters A and B, and was given to each participant.” Comment: it is unclear whether or not the medication appearance in both groups was the same in all aspects, and also whether there was a difference of administrator"
P,"“Fenugreek seed's capsule content of 900 mg seed powder prescribed 3 times a day and 2- 3 capsules duration first three days of menstrual period and for persons in control group prescribed placebo (similar capsule with same recipe content starch) in two cycles.” “The capsules were similar with respect to shape, colour, and packaging.”"
P,"“For the reading sessions, four women with a pedagogical education were recruited and trained to perform all the different reading styles and puppetry conditions. These storytellers were teamed up with four female experimenters who observed the toddlers during the readings. With each team being allocated to a specific day of the week, all the toddlers in the study were exposed to all the storytellers and observers.” Those delivering the intervention were aware of group allocation, however this is unlikely to have impacted the outcomes."
N,"“Given the nature of the intervention, study participants and site staff could not be masked to treatment allocation“ (p. 447)"
N,"“Group allocation was not blinded to the participant, clinicians performing interventions or the researchers conducting follow-up interviews” (p. 123)"
P,"“In a double-blind, randomised, placebo controlled trial, 100 students were randomly assigned to receive valerian (n=49) or placebo (n=51).” “The present study was a double-blind, randomised clinical trial.” “The participants and the researchers were blind as to who received valerian.” “The valerian capsules contained 255 mg powder of valerian root, whereas the placebo capsules contained starch. The capsules were similar in shape and packaging.”"
P,“Incidents of food and drink spillage were recorded by researchers. Teachers were instructed to redirect conversations pertaining to food to nonfood-related topics to minimize the influence on lunch intake.” Objective outcome measurement. Children were not blinded and it seems unlikely that this would influence their intake. Staff present during the meal and staff who served the food to children were not blinded and it seems unlikely this would influence child intake
P,"“Needle acupuncture was also performed for the control group, but the selected puncture sites were at least 5 cm away from the classical acupuncture points and their interconnecting lines (meridians) and also clear of painful pressure points (Ah-Shi or trigger points). ” “A modified Borkovec Expectancy Scale19 was used to assess credibility and expectation. The items in this questionnaire are listed in Table 4.” “After the first treatment session, a modified Credibility Scale showed no difference between the groups concerning the expectation, acceptance and credibility for the ongoing treatment. Therefore, coping and expectation should not influence treatment results.”"
P,"“Neither parents nor children were informed about the purpose of the study.” “During each meal, adults, including teachers and undergraduate research assistants who did not know the purpose of the study, were instructed to redirect conversations about food-related topics to minimize peer influence on children's lunch intake.”"
N,“None were blinded” (study author provided information)
P,“Nurses... were blinded to the group assignment for all study subjects” (p. 541)
Q,"“One group (group GB) was fed green beans, whereas the other (group GB-P) was fed green beans and then (within 1 hour) peaches throughout the 8-day home-exposure period (days 3–10).”“To increase compliance, telephone contact was made with the mothers, who recorded the time of day and types and quantities of foods and liquids they fed their infants throughout the study.”"
N,"“oral fennel drop”. Comment: blinding was not mentioned. In addition, it is not possible to blind the participant to treatment (liquid forms (drop) versus capsule)."
P,“Patients and personnel were blinded” (study author provided information)
N,"“Patients and providers were not blinded to the IFN, which could have affected reporting”"
P,"“Randomisation and blinding was done by an investigator with no clinical involvement in the trial. Data collectors, outcome assessors and data analysts were all kept blinded to the allocation.” “The children were randomized to receive either single dose of 100 mg/kg oral chloral hydrate with one millilitre of intranasal normal saline as placebo (Group I) or 0.2 mg/kg intranasal midazolam with oral normal saline as placebo (Group II).” The participants and personnel were blinded to the appearance of the medications, as both were served (either one is placebo). Even though intranasal normal saline and oral normal saline (as placebo) taste differently from the medications, children would not be able to tell what the actual medications they received were. The investigators were not involved in the trial."
P,"“Randomisation at the level of participating physicians was used so that physicians would not see patients in both the intervention and control arms of the study, thereby avoiding contamination effects” (p. 448)"
P,“research assistants who were unaware of the intervention status implemented study procedures”
N,"“Sedative agents were prepared and administered by a trained nurse under the supervision of the attending pediatric neurologist in all patients.” “In groups D1 and D2, corresponding amounts of dexmedetomidine (Precedex 100 mg/mL; Abbott Laboratories, IL) in 3mL normal saline were given to patients via the oral route. In the D1 and D2 groups, patients received oral dexmedetomidine doses of 2 and 3 mg/kg, respectively. In groups C1 and C2, corresponding amounts of chloral hydrate (100 mg/mL) in freshly prepared, cherry-flavored liquids were given to patients in a single dose orally. In these groups (C1 and C2), patients received oral chloral hydrate doses of 50 and 100 mg/kg, respectively.” Blinding of participants is unlikely, as both medications are different in taste and quantity (amount served)."
P,"“The capsules of Rosa damascena extract were produced with the same appearance, colour and odour as Mefenamic acid capsules” “During the study, the participants and the researcher were unaware of the drug”"
P,"“The capsules were identical in shape, package, and colour, and were coded by the pharmacologist. Neither the researcher nor the participants were informed of the type of ingredient in each capsule.”"
Q,"“the EEG tracings were analyzed by two medical electro-encephalographers (EM, LT) who did not know what sedatives were administered and who were asked to review possible base alterations attributable to a sedative (impregnation), and to what medication it was attributed to” It is unclear whether or not participants and personnel were blinded."
P,"“The foods were presented to the mothers in jars, containing 71 g of food, and labels did not indicate the presence or absence of salt.”"
Q,"“The ginger and placebo capsules were prepared by a pharmacist. Briefly, fresh ginger root was chopped into small pieces, baked at 60°C for 24 hours, and then ground into powder. Ginger powder was weighed and 500 mg of it was filled in each capsule. Excess powder was wiped oC the capsule surface with a clean dry cloth. Both placebo and ginger capsules were packed in an envelope containing nine capsules.” Comment: it is unclear whether or not capsule appearance in both groups was the same in all aspects (e.g. colour)."
N,“The intervention group received 30 mg fennel capsules each 4 hours (8 am to 12 midnight) from about 3 days before menstruation till end of fiQh day for 3 months. There was no treatment for control group and they did not receive any placebo.” Comment: it was not possible to blind the participant to treatment as the control group did not receive any treatment.
P,"“The phyto-drug, ibuprofen and placebo were manufactured, standardized and packaged at Phyto-drugs Technology Research and Development Laboratory of the Mexican Institute of Social Security.” “All vials of medication (extract, placebo or ibuprofen) were identical and labelled with codes, which were known only to the investigators who manufactured the products.” Comment: participants were likely to be blinded as the interventions were standardised and packaged. All vials of medication were identical and labelled with codes, which were known only to the investigators who manufactured the products."
