class,text
P,"""An independent trained assessor (research assistant) undertook measurements at baseline (Time 1), 6 months (Time 2) and 18 months (Time 3), using a set of questionnaires. Both assessor and clinic staff were masked to treatment allocation""."
Q,"""As in all family intervention studies, there was some difficulty in maintaining blinding [...] this problem by instructing families not to state who had provided treatment and by ensuring that the evaluators were unaware of the purpose of the study""."
Q,"""As there was a visual difference between IIV3 and placebo, study personnel 
who were involved in the preparation and administration of the study vaccine 
had no further involvement in the study conduct. Participants and investigational site sta involved in performing study assessments remained blinded to 
treatment allocation."""
Q,"""Assessment of tumor response was made by an independent response review committee (IRC) that was blinded to treatment assignment"""
P,"""Assessments were done by research interviewers who were master's-level mental health professionals, blinded as to patient group assignment, not associated with clinical care and instructed not to inquire about a patient's treatment during interviews""."
Q,"""at each centre the same observer always made these observations""; it was not stated whether observer was blinded"
P,"""At each study site, an investigator, subinvestigator, or study nurse who was 
masked to treatment allocation was designated to vaccinate participants, and 
was then prohibited from participation in data collection or the study. To ensure masking, the participants were enrolled by investigators who were not involved in the randomisation process. 
Because the syringes containing the test and the control products were different in appearance both studies employed an observational blinding procedure 
such that study personnel who administered vaccinations were not involved in 
recording or reviewing study data"""
Q,"""At the 12th week each case was reviewed by a clinician not associated with the routine assessment of the ulcer to see whether it was healing satisfactorily."" Not stated whether clinician was blind to treatment allocation"
Q,"""At the time of screening (24 hr prior to randomization) physiologic data were recorded and relevant laboratory, radiographic and clinical findings were collected. Throughout the complete study period, data on ventilator settings, laboratory, physiologic, radiographic and interventional data were recorded"""
P,"""Before evaluation, all medication was removed and the ulcer cleaned to keep the evaluator blinded"""
P,"""blind evaluation of TD and parkinsonism by means of video recordings.""; ""All the videotapes were later randomly sequenced and blindly scored by two of the same three raters"""
P,"""blinded study"" ""placebo capsules"""
Q,"""Blinding, in the sense of blinding the investigators, was not necessary because the judgement of whether a preventive activity (including the administration of influenza vaccine) had been performed was made by searching the practice's electronic clinical record automatically""; ""Vaccinations were recorded by the doctors in their clinical record system's immunization module which used coded data entry to make the entries consistent and therefore machine-searchable. If our search found a record of influenza vaccine being given between 9th March (the start of our trial) and the 
end of June (the end of the useful immunization season), this was counted as 
influenza immunisation having been performed"""
P,"""blindly assigned (1:2 ratio) using computer generated random numbers either to integrated care (IC) or to usual care (UC)."""
P,"""Both drugs and placebo were administered in identical, color-blinded, translucent standard syringes, and raters and study personnel were blind to treatment assignment"" (Wright 2001, p.1149). [italic added by reviewers]"
N,"""Both investigators and the participants were not blinded of the intervention groups"""
Q,"""Both the patient and the attending physician were blinded as to the medication assignment""; no additional details provided with respect to outcome assessment"
P,"""capsules that were identical in appearance"""
P,"""capsules that were identical in appearance"""
Q,"""Correct blinding was used for researchers"""
P,"""Data collected by a researcher naive to the intervention status of the participants."""
P,"""Data collectors and data analysts were blinded. The health educators who delivered the intervention obviously knew who had been randomised to the intervention, but had no involvement with the collection of quantitative evaluation data at baseline or follow-up."" Dodge JA (email communication)"
P,"""Data were collected, coded, and analysed by researchers who had not been involved in recruitment and were therefore blind to the intervention group."""
P,"""double blind and used a single placebo technique"""
Q,"""double blind phase"" no further details."
P,"""double blind, double dummy design"""
P,"""double blind, double dummy"""
P,"""double blind,double dummy"""
P,"""double blind? Using placebo of the same size and appearance as conventional metronidazole and clarithromycin tablets"""
Q,"""Double blind."""
Q,"""Double blind"""
P,"""double blind"" ""antibiotic matching placebo"""
P,"""double blind"" ""placebo treatment"""
P,"""double blind"" ""The placebo with similar appearance"", Blinding of participants and key study personnel ensured."
P,"""double blind"" placebo"
P,"""double blind"" placebo"
Q,"""double blind"", no further details"
P,"""double blind"", The medicine, starch or placebo (gastropine) was packed in gelatin capsules of similar appearance. The investigators did not know what medicines were given to patients, and the patients did not know what medicines they had taken"""
Q,"""double blind"". Blinding of outcome assessors not reported."
P,"""double dummy"""
Q,"""double- blind"", further details not reported."
Q,"""Double-blind randomized list"" Not specified"
Q,"""double-blind,"" Details not reported."
Q,"""double-blind,"" Details not reported."
P,"""double-blind"" ""identically appearing placebo"""
Q,"""double-blind"" Details not reported."
Q,"""double-blind"" Details not reported."
Q,"""double-blind"". Details not reported"
Q,"""double-blind"". Details not reported."
Q,"""double-blind"". Details of blinding of outcome assessment not reported"
P,"""Drugs and placebos in exactly identical covering with codes only known to the researchers were given to the study samples."""
P,"""drugs placed in identical capsules"", ""matching placebo of nortriptyline"" to blind different dosing schedules"
N,"""Due to cluster randomization, data collectors were not blinded to group as-signment.""We judged this lack of blinding to be a high risk of bias for all outcomes."
Q,"""each ulcer was evaluated serially by the same person as each medical centre""; no further information given"
P,"""endoscopic examinations were ultimately judged by an experienced endoscopist who was also not informed of the treatment"""
P,"""Endoscopies were performed by one of the authors, who was blinded to the clinical data, bacteriological findings and treatment regimen"""
P,"""endoscopy was performed at 3 month intervals by a gastroenterologist who was kept uninformed of the details of the patients' past medical histories"""
P,"""Examinations with the AIMS were videotaped and scored by a second rater unaware of the temporal sequence of examinations."""
P,"""Except in a small number of cases in which participating women inadvertently disclosed their treatment assignments, all interview and medical record data were collected by staF members who were unaware of the families’ treatment assignments.”"
P,"""Gel was given prior to the investigation by a different operator from those who carried out hysteroscopy, and the patient, hysteroscopist and other staC were unaware of which gel had been used."""
P,"""identical appearing blue and grey capsules .... in accord with a double-dummy design"""
P,"""identical appearing placebos"""
P,"""identical capsules"""
P,"""identical capsules"""
P,"""identical capsules"""
P,"""identical placebo capsules"""
P,"""identical tablets/capsules containing active drug or placebo"""
P,"""Identical-appearing capsules containing placebo were used to blind the patients"""
P,"""identical-appearing capsules"""
P,"""identical, coded medication bottles containing identical tablets of gabapentin or placebo"""
P,"""identically appearing capsules"""
P,"""identically appearing capsules"""
P,"""identically appearing capsules"""
P,"""identically appearing placebo"""
Q,"""In a trial of psychological treatment it is extremely difficult to make assessments that are totally blind to the treatment condition and this was not attempted. However, all assessments were carried out by independent research workers who were not involved in the treatments""."
P,"""In view of the double blind...both the active and the placebo infusions were coloured yellow..."""
P,"""independent raters blinded to the treatment arm conducted efficacy assessments"". (p.387)"
P,"""Independent researchers, who were blind to study condition, conducted assessments""."
P,"""Interviewers evaluating outcomes were blinded to the intervention group of participants and general practitioners at all times, and participants were unaware of the group allocation of their general practitioner."""
P,"""Interviewers were blind to women's participation in the program"" (Clark 2000)"
P,"""Interviews and abstractions of medical and social service records were conducted by staF members who were unaware of the women’s treatment assignment."""
P,"""interviews carried out by a research assistant blinded to group assignment"""
P,"""investigator blinded clinical trial"""
P,"""investigator blinded"""
Q,"""investigator-blinded"", further blinding details not reported"
P,"""Investigators, patients, clinical carers and raters were blinded."""
P,"""labels A or B and not the drug names were known to the investigator. This investigator analysed the data independently and presented this to the other investigators"" (p.224)."
P,"""matched placebo"""
P,"""matching placebo"""
P,"""matching placebos were supplied to maintain the double-blind nature of the study"""
P,"""Movement Disorder Neurologists as blinded central AIMS raters"""
P,"""Movement frequencies were counted from the videotapes by the first author, who was blind to the patients’ treatment status and the chronological order of the videotapes."""
Q,"""Neither operating physician nor patient was are of which study antibiotic was used""; however, no details on outcome assessors were provided"
N,"""Neither patients nor physicians were blinded to allocated treatment"""
N,"""No blinding procedure was planned for this study due to the complex management of the blinding procedures with two different routes of administration"""
N,"""No blinding was used during follow-up"""
P,"""Nurses who undertook the vaccination clinics were unaware of the household allocation to control or intervention group."""
N,"""Only the statisticians had access to the unblinded data. A double-blind study protocol was not possible because the drug delivery method in the three groups was different"""
N,"""open study"""
N,"""Open-label study"""
P,"""Outcome assessors masked as independent investigator inserted the plugs and performed sham insertion for those receiving no plugs"""
P,"""Outcome assessors who performed the pregnancy tests and ultrasonographic examinations to determine if the patient was pregnant were also blinded for allocation"""
P,"""Patients and investigators (or other personnel performing patient evaluations) were not aware of which regimen was being administered"""
P,"""Patients and their physicians were aware of the treatment assignment, but endoscopists and pathologists were not"""
N,"""Patients were assessed by two psychiatrists. The psychiatrists were all masked with regard to the patient’s treatment assignment"" (p.31); no information whether the blindness was effective."
P,"""Patients, researchers, and others involved in patient care were blind to study group; only acupuncturists and the designated research assistant were aware of which patients received true and which received placebo treatment"""
P,"""Patients, their gynaecologists, all investigators and evaluators were blinded to the random allocation throughout the study"""
P,"""Physicians and facilitators were blinded to the actual manoeuvres that would be included in the preventive performance index."""
P,"""placebo capsules were identical in appearance and taste"""
P,"""Plug retention and all other secondary outcomes were evaluated by 1 examiner masked to the treatment arms (Z.M.)"" (p 239)."
P,"""Primary observers and reliability checkers were not told of the between-group experimental design."""
P,"""Quantitative evaluation of oral dyskinesia... was carried out every two weeks, by a psychiatrist... using a blind basis"". Ward nurses were also blind to the treatment."
Q,"""randomised double-blind study"""
Q,"""Randomization was performed using a predetermined randomization code in a double blind fashion."""
P,"""Raters were blind to the treatment condition received by the patient."" (p.178)."
P,"""raters were blinded to group allocation"""
P,"""Raters, nurses and patients were blind to treatment."" ""At completion of the study, the patients, a psychiatrist and nursing staff involved in ratings were asked to guess the nature of the treatment block. There was a choice of 3 alternative answers: inactive tablets, active drug or uncertain. ""Analysis of the guesses made by staff and patients as to the sequence of treatments showed that correct guesses occurred randomly. Thus, despite inevitable cues from side-effects, it seemed that the double-blind nature of the study was preserved""."
P,"""Ratings were performed by the psychiatrist ordering the medication who was not aware which drug was administered to the patient. When asked to guess which drug was given, the psychiatrists administering the drug were unable to guess significantly better than chance."" (p.968)."
N,"""Research interviewers were aware of the treatment group to which the family was assigned."""
P,"""results were not shared with the endoscopist"""
Q,"""self-report questionnaire that includes the number of days/hours spent at work per week, the number of days missed from work in the past month due to RA."" We consider these self report data to have a high risk of bias, and not be an objective measure. The intervention was quite intensive with 6 months of comprehensive OT including workplace visits which may have influenced patients recall at the six-month follow-up. Certainly there would be more emphasis on the importance of job loss or taking sick leave, although it is not clear how big this effect would be in either group."
P,"""single blind"""
Q,"""single-blind and controlled study"" Blinding details of outcome assessors not reported"
Q,"""single-blind"", but does not state if it was participants or researchers blinded; data entered on computer clinical tracking program"
P,"""StaD, patients, and all raters were blind to the drug group; one non rating physician and one nurse were non blind to dispense medication and monitor safety""; no further details were provided"
P,"""staff performing the endoscopic and bacteriologic assessments were unaware of the drugs the patient had been taking"""
P,"""Study mothers were interviewed at 3 months by a research assistant who was blinded to the intervention status of the mother."""
P,"""Study staff . . . were all blinded to melatonin treatment group assignment."" Outcomes were actigraphy data (objective)"
P,"""supplied in identical capsules in blinded fashion"". ""All participants were supplied with an equal number of capsules""."
Q,"""TD ratings were performed double-blind"". No further details are reported."
P,"""The attending doctor, nursing staC and the women were all blinded to the identity of the medication used."""
Q,"""The BPRS was completed before and after the intervention in Korean by abilingual Korean psychiatrist, who was blinded to participants' treatmentmodality [...] the other scales were verbally presented to the study participantsby the first author in Korean and self-report answers were written down by theparticipants"".Shin"
P,"""The chart auditors were blinded as to the status of the practices and assessment of outcomes."""
P,"""The clinicians and the laboratory staI were blinded to groups"""
P,"""The code was not broken until the woman had been classified as morbid or no-morbid and had been examined 6 weeks after surgery"""
Q,"""The current prospective blind study..."" Method of blinding not reported"
P,"""The doctor and the biological team performing the ART were blinded to group assignment"""
P,"""The ED [Emergency Department] psychiatrist who treated and rated the patient remained blinded to the identity of the patient's medication throughout treatment"" (p.336).[italic added by reviewers]. Not tested."
P,"""The embryologists were blind to this randomization process"""
P,"""the endoscopist was blinded to the treatment status of the patient"""
P,"""The investigator and staD were unaware of the antibiotic assignment"""
P,"""the investigator in charge of follow-up was"" blinded to the procedure"
P,"""The knee function was assessed by a blinded, independent physician, 3 months after surgery at the orthopaedic outpatient centre."""
P,"""The nature of the treatment was unknown to patients, bacteriologists, or clinicians, and the code was not broken until after the conclusion of the whole trial."""
P,"""The patients and the physician investigator were blinded to treatment assignment as long as the 24-hour assessment was not completed. The assessment was performed by the investigator and the nurse who administered the injection was not involved in the assessment process of the study."" (p.232)."
Q,"""The patients as well as the medical staC performing the hysteroscopy were unaware which gel had been used."" However the examiner performing the gel-instillation sonography (GIS) was aware of which gel had been used. Although the relevant intervention was blinded there is a high risk that the blinding could be broken, although the likely impact of this on the results is unclear."
P,"""The presence or absence of blood on a tray was assessed by a researcher who 
was blinded to the allocation"" 
Healthcare workers could not been blinded as they were using the devices but 
bias is unlikely here."
P,"""The presence or absence of blood on a tray was assessed by a researcher who 
was blinded to the allocation"" 
Healthcare workers could not have been blinded as they were using the devices but bias seems unlikely here."
P,"""The presence or absence of blood on the tray was assessed by a blinded researcher"" Healthcare workers could not have been blinded as they were using the devices but it is unlikely that this introduces bias."
P,"""the radiologist who performed transvaginal ultrasound follow up assessment was blinded to the treatment groups"""
P,"""The randomisation codes were concealed for the entire trial duration and only revealed after completion of data analysis."""
P,"""The randomization code was not broken until the last woman attended the clinic"""
P,"""The research assistant [rater], the administering physician, and the patient were all blinded to the drug delivered."" (p.745)."
P,"""The single acupuncturist was trained to perform the same procedures at each consultation and was instructed not to discuss any aspect of the treatment procedures with the participants, to ensure participant blinding and consistency of treatment."""
Q,"""The study formulation and placebo tablets have been produced by Quest Vitamins Ltd, Aston Science Park, Birmingham, B7 4AP, and are identical in external and internal appearance, and taste. The manufacturer has allocated distinguishing symbols, μ and λ. The tablets are packaged in identical, sealed, white containers; the only difference being the symbol on the label. Investigators and participants do not know which symbol represents the placebo tablets, and which represents the active formulation."" ""End of trial assessment using questionnaires indicated`masking success. Out of those participants taking the placebo tablet, 10% correctly guessed which tablet they were taking, and 10% incorrectly guessed. Out of those taking nutritional supplement, 13% guessed correctly which tablet they were taking, and 7% incorrectly guessed. The remaining participants did not know which group they were randomised to."""
P,"""The study remained blinded until all women were examined at a follow-up clinic visit"""
P,"""The study was assessor-blinded; the person who performed the transvaginal ultrasound examinations to confirm clinical and ongoing pregnancy was blinded to the patient’s treatment group assignment"""
N,"""The study was not blinded because the patients as well as the clinicians were aware of the treatment group"""
N,"""The study was not blinded in that physicians could be aware that a patient was a member of a family in the study if the patient mentioned that the family had received a letter."""
P,"""The study was open for participants but blinded for the healthcare workers responsible for caring for the patients."""
P,"""The TD condition was evaluated blindly by a psychiatrist with the Abnormal Involuntary Movement Scale (AIMS) every 2 weeks"""
P,"""The vaccination data were obtained through prechart and postchart reviews conducted at these sites by trained outside reviewers."""
Q,"""The women were randomised prospectively double blind into two groups."""
N,"""This study was an open-label randomised trial."""
Q,"""This was a double-blind, randomized, placebo-controlled, parallel-group, proof-of-concept study."" No further information provided"
P,"""Those assessing outcomes were blinded to the group allocation unless the participant happened to reference program participation during the follow-up telephone interviews or at the physical assessment visit."" Correspondence with author, J Dodge"
P,"""Trained parent assessors who were blind to each parent's group"
P,"""Trained research staF blinded to family group assignment"" collected baseline and follow-up data."
P,"""Trial research assessors were independent of treatment delivery and every effort was made to ensure they were kept masked to allocation"" ""Patients were reminded by the assessors not to talk about treatment allocation"". ""The primary outcome variable, relapse, was assessed by masked panel evaluation"""
P,"""two experienced endoscopists, who were blind to the clinical data"""
N,"""Two research nurses, who were not blind to the treatment allocation of participants, conducted follow-up assessments""."
Q,"""Volunteers ... made a follow-up contact to ascertain whether immunization(s) were received."""
Q,"""We have studied, using an open, comparative study design, the efficacy of..."""
Q,"""With placebo blinding"" - probably double-blinded; no additional information on outcome assessor"
Q,"""Women were randomly and double blindly assigned."""
Q,"""Women were randomly and double blindly assigned."""
P,“ independent research staG rather than the treating physician performed outcome assessments.”
P,“…minimizing unblinding at follow-up by sending a message to participants asking them not to disclose their group allocation”
P,"“10-mg melatonin tablets (Sigma Chemical, Munich, Germany, provided batchby-batch certificates of analysis authenticating the purity of each batch) or a placebo with identical characteristics. The capsules were manufactured in such a way that the placebo and active treatment appeared to be identical.” “Other individuals who were involved in patient care were unaware of the treatment group to which the patients belonged.” “Two independent medical examiners who were blind to the group assignments were trained to administer the pain scales and to conduct the psychological tests.”"
P,“A blinded personal interview was conducted by study staff who had no contact with the participant prior to the outcome assessment which mainly was assessed by telephone” (p. 247)
P,"“A blinded research assistant assessed outcomes at 1 week and 1, 2, and 3months.”Unfeasible to blind participants or personnel."
Q,"“A double-blind, randomised, placebo-controlled study carried on 240 high schools female students with dysmenorrhea in Urmia city by dividing into four groups with 60 members.” “They received drug boxes each month, and for all of them, possible drug complications were described and asked them to mention any occurred complications.” Comment: it is unclear whether or not the appearance of the treatment to both groups was the same in all aspects (different form; tablet, capsule)."
N,"“A multipass 24-hour dietary recall was administered by staff trained and certified to use the Nutrition Data System for Research software versions 2009, 2010, and 2011” It is unclear whether outcome assessors visiting the home were aware of group allocation. Parents self-reported child dietary intake."
Q,"“A randomised, double blind study comparing FEO 1% and 2% with placebo”. Comment: there was no information on either the form of placebo, or the appearance of FEO and placebo. The study may not have accomplished blinding."
P,"“A research nurse who was blinded to group allocation assessed outcomesduring a personal interview at discharge and by a telephone-interview at 3 and6 months of the infants’ age.”Reply from trialist: ""those carrying out analysis of data were blinded as togroup allocation."""
P,“All follow-up data were collected and managed by a researcher who was masked to allocation status” (p. 1823)
P,“All members of the trial team were unaware of allocation until the data had been cleaned and locked.”
P,"“All of the capsules were made by Boo Ali Research Center of Qom city and were completely similar in shape. In regarding the blinding process, the researchers and the participants were uninformed of allocating manner of each group and a third one that did not involve in analysing and interpreting”."
Q,“All patients received identical appearing capsules on a special ”blister pack“ medication card allowing the patient to take the medication on a twice-a-day schedule”
Q,“All radiologic material was prospectively evaluated by 2 radiologists ... who were blinded to the clinical findings and cranial CTs of the patients”. The methods did not explicitly state that the radiologists were also blinded to treatment allocation
P,"“All ratings were made while mothers and the research assistant were blind to whether infants were fed peas or beans, whether the feedings observed occurred before or after the repeated exposures, and whether or not the infants were being fed salted or unsalted vegetables.”"
P,“All scintigrams were read by the same blinded investigators”
Q,"“All subjects were asked to bring their study medication to all visits, to allow compliance testing by tablet counting.” No description of placebo. Potential for unmasking as to intervention received. No specific information provided as to the blinding of outcome assessors (grading of fundus images, assessment of MPOD or visual function)."
Q,"“As there was a visual difference between IIV3 and placebo, study personnel 
who were involved in the preparation and administration of the study vaccine 
had no further involvement in the study conduct. Participants and investigational site sta involved in performing study assessments remained blinded to 
treatment allocation.”"
N,“Blinding procedure is not described”
P,"“Clinic sta (excluding the nurse giving the vaccine), were blinded to the treatment group until the study was complete.”"
P,"“double-blind trial”, not specified, but reported outcomes unlikely to be influenced by blinding. Similar missing data in both groups, dropout explained, available case ITT performed."
Q,“Dressings were changed during . . . assessments . . . by the study nurses between . . . visits.” Comment: outcome assessor blinding was not mentioned.
P,"“During each meal, adults, including teachers and undergraduate research assistants who did not know the purpose of the study” low risk. Researchers who weighed all food and drink before and after the meal. Researchers were blinded to the purpose of the study."
N,"“During the 9- and 12-mo visits, the amount of food offered and consumed at the midday meal was measured (using an electronic scale, to the nearest gram) for a subsample of infants (n = 60 at 9 mo, n = 123 at 12 mo), and their mothers were interviewed regarding the infants' usual daily food intake and acceptance and frequency of consumption of a variety of common foods.” It is unclear whether outcome assessors visiting the home were aware of group allocation. Mothers self-reported food intake and acceptance."
N,"“Each medication package was placed on a separate box, coded by letters A and B, and was given to each participant.” Comment: it is unclear whether or not the medication appearance in both groups was the same in all aspects, and also whether there was a difference of administrator"
P,“Enrollees were not followed up by the same health promotion advocate who assessed them initially. Participants were notified not to reveal their group assignments to project staff at any time” (p. 69)
P,"“Fenugreek seed's capsule content of 900 mg seed powder prescribed 3 times a day and 2- 3 capsules duration first three days of menstrual period and for persons in control group prescribed placebo (similar capsule with same recipe content starch) in two cycles.” “The capsules were similar with respect to shape, colour, and packaging.”"
P,“Follow-up assessment was carried out at 6 and 12 months... by a research assistant blind to study group” (p. 121)
P,“Follow-up interviews were done either by telephone or in person by a researcher blinded to allocation status” (p. 1335)
N,"“Group allocation was not blinded to the participant, clinicians performing interventions or the researchers conducting follow-up interviews” (p. 123)"
P,"“In a double-blind, randomised, placebo controlled trial, 100 students were randomly assigned to receive valerian (n=49) or placebo (n=51).” “The present study was a double-blind, randomised clinical trial.” “The participants and the researchers were blind as to who received valerian.” “The valerian capsules contained 255 mg powder of valerian root, whereas the placebo capsules contained starch. The capsules were similar in shape and packaging.”"
P,“Interviewers were blinded to condition during follow-up interviews” (p. 1755)
P,“Interviewers were blinded to participant condition during follow-up interviews” (p. 525)
Q,"“Mothers fed at their customary pace until the child rejected the food ≥ 3 consecutive times or finished 2 jars of food.”Due to the nature of the intervention, mothers would have been aware of the infant’s group allocation, and this may have impacted the results."
P,"“Neither the subject nor the site study team (sta performing clinical safety or 
efficacy evaluations and investigators) were aware of patient assignment. One 
research nurse at each site was responsible for randomization, maintenance of 
the treatment log, test article preparation and administration.” 
“This sta member did not perform any safety or efficacy observations and 
could not reveal treatment assignment to participants or other study sta.” 
“Both lots are sterile, colorless to yellowish opalescent and preserved with 
0.01% thimerosal. The placebo control was sterile phosphate-buered isotonic saline with 0.01% thimerosal, and was colorless.”"
N,“None were blinded” (study author provided information)
N,"“oral fennel drop”. Comment: blinding was not mentioned. In addition, it is not possible to blind the participant to treatment (liquid forms (drop) versus capsule)."
N,“Parents completed the NCI Fruit and Vegetable Screener Questionnaire as an online survey.” Child fruit and vegetable consumption assessed via parent self-report
P,“Participants were cautioned not to discuss their enrolment procedures or allocation with research assistants who conducted their follow-up” (p. 892)
N,"“Patients and providers were not blinded to the IFN, which could have affected reporting”"
P,“Physicians caring for patients and nurses collecting follow-up data were blinded to study assignment.”
P,"“Research assistants at follow up were blinded to the participant assignment, and because this interview conducted no evaluation of the BAI they were unaware from which group the participants came” (p. 1228)"
P,“research assistants who were unaware of the intervention status implemented study procedures”
P,"“Research assistants, blinded to treatment allocation, entered all data collected” (p. 448)"
P,“Research assistants... were blind to treatment group assignment” (p. 398)
P,“Research assistants... were masked to treatment group assignment” (p. 270)
P,“Research interviewers conducting followup were blinded to randomisation status” (p. 431)
P,"“Research staff blind to treatment assignment conducted follow-up assessments” (Field 2010, p. 66)"
P,“Researchers conducting 6 and 12 month follow up were blinded to the participants allocated treatment condition and efforts were made to prevent participants from inadvertently revealing the intervention they received” (p. 3)
P,"“The capsules of Rosa damascena extract were produced with the same appearance, colour and odour as Mefenamic acid capsules” “During the study, the participants and the researcher were unaware of the drug”"
P,"“The capsules were identical in shape, package, and colour, and were coded by the pharmacologist. Neither the researcher nor the participants were informed of the type of ingredient in each capsule.”"
P,"“the EEG tracings were analyzed by two medical electro-encephalographers (EM, LT) who did not know what sedatives were administered and who were asked to review possible base alterations attributable to a sedative (impregnation), and to what medication it was attributed to” 2 independent electroencephalographers interpreted the EEG result."
P,“The evaluation was carried out by a non-blinded member of the research team”
P,"“The experimenter conducting the eating task was blinded to group assignment, because the reading sessions and eating tasks took place in different rooms.”"
Q,"“The ginger and placebo capsules were prepared by a pharmacist. Briefly, fresh ginger root was chopped into small pieces, baked at 60°C for 24 hours, and then ground into powder. Ginger powder was weighed and 500 mg of it was filled in each capsule. Excess powder was wiped oC the capsule surface with a clean dry cloth. Both placebo and ginger capsules were packed in an envelope containing nine capsules.” Comment: it is unclear whether or not capsule appearance in both groups was the same in all aspects (e.g. colour)."
N,“The intervention group received 30 mg fennel capsules each 4 hours (8 am to 12 midnight) from about 3 days before menstruation till end of fiQh day for 3 months. There was no treatment for control group and they did not receive any placebo.” Comment: it was not possible to blind the participant to treatment as the control group did not receive any treatment.
P,“The investigator who reviewed the monitor strip of each study subject for fetal heart rate response and uterine activity quantitation was blinded to details of women's management and specific medication utilized.” Blinding for other outcome assessment was not discussed.
N,"“The person who conducted the followup was not a baseline recruiter or interventionist, nor was intervention condition masked” (p. 228)"
