class,text
P,"""Twelve patients, four in arm A and eight in arm B, did not undergo any treatment: some refused and others had renal or heart abnormalities"""
Q,"""Twenty-four patients (4%) were deemed ineligible: five had cerebral metastasis at the time of inclusion, two had a previous malignancy, two had errors in diagnosis, five had a PS 3, and 10 had no measurable lesion. They were distributed as follows: nine to NVB- P, 11 to VDS-P, and four to NVB""No information provided for elderly subgroup"
P,"""Twenty-three patients (3.9%) either withdrew from the study before receiving protocol therapy or were later found to be ineligible"""
Q,"""Two female patients were discharged from the hospital before initiation of the study and are not included in the analysis."" Participants were randomised; 2/24(8%) were withdrawn before first dose of medication. It seems that the two withdrawn participants were originally randomised to the placebo group."
Q,"""Two knees were excluded from analysis because one had drain dislodgement before 48 hours and the other had a periprosthetic fracture (Lewis and Rorabeck Type 2) from an accident 6 weeks after surgery."""
Q,"""Two out of six patients in the control group compared to zero out of three in the intervention group dropped out [out of 13]"" (p.327)."
Q,"""Two patients in the DG arm did not receive any protocol treatment. One patient suffered from uncontrollable atrial fibrillation, and the investigator decided against this patient receiving protocol treatment. The other patient had a massive hematemesis from a gastric cancer that was discovered after enrolment (second primary). Because two patients were deemed ineligible, 131 patients were evaluated for survival, response, and toxicity"""
P,"""Two patients in the EP arm were excluded from analysis due to protocol violation. One patient suffered grade 3 hearing impairment before entering the trial and the other patient was found to have brain metastases on the second day of the first cycle of treatment"""
,"""Two patients in the intervention and four in the control group were excluded soon after randomisation at their own request leaving 87 subjects as the final patient population""(Hofman-Bang 1999)"
P,"""two patients were excluded from the efficacy analysis. It was determined after enrolment that both received proscribed antipsychotic medication before entering the study."""
P,"""Two patients were subsequently considered to be ineligible and 3 did not receive the protocol treatment"""
N,"""Two patients were withdrawn, one from each group"" (p.24)."
N,"""We analysed all data by intention to treat. All participants who were enrolled and randomised (both of which occurred automatically at their first visit during the trial) were included in the analyses."""
N,"""We randomized all patients who met entry criteria, despite the gravity of their clinical state (1 new therapy patient died rapidly before we could initiate LFPPV-ECCO2R, and 2 patients died within 1 day after initiating LFPPV-ECCO2R). We observed the ""intention-to-treat"" principle in our evaluation of this new therapy in the clinical trial"""
N,“102 participants were randomised and 96 enrolled for the final analysis” - data in abstract only - unclear if this constitutes a source of bias
N,"“43 participants in the standard-introduction group and 69 participants in the early-introduction group withdrew voluntarily from the study. Reasons given were as follows: concerns about the blood tests (SIG 0, EIG 2), emigration (SIG 10, EIG 12), expenses (SIG 1, EIG 1), family health issues (SIG 3, EIG 0), family issues (SIG 2, EIG 4), no reason given (SIG 11, EIG 16), lost contact with family (SIG 15, EIG 28), too far to travel for study assessments (SIG 0, EIG 1) and unhappy participating in the study (SIG 1, EIG 5).” “Only 31.9% (208/652) of all the enrolled early-introduction group participants were primary outcome evaluable and adhered to the protocol versus 80.5% (524/651) in the standard-introduction group.” With detailed explanation reported in NEJM appendix."
P,“45 were randomised into experimental and control groups. Three patients in the control group did not come for last follow up; information regarding lost to follow up was not obtained. The final analysis was conducted on 45 patients” Comment: an intention to treat analysis was applied
P,"“A total of 150 participants received intervention. Thirteen participants failed to complete the study. Thus, data from 137 participants were analysed based on the actual treatment received and the available follow up”. Comment: based on the text, the dropout rate was 8.67% (13/150). According to information on the flowchart, the dropout rate was 6.67% (10/150). The study authors did not give any reason for participants lost to follow-up."
P,"“A total of 51 children were enrolled, and all of them completed the study” There were no children who dropped out over the study"
N,"“After one (2.8%) student from the placebo group withdrew herself, the group finally consisted of 34.” Comment: risk was low despite no reason given for one withdrawal case, and an unbalanced percent of dropouts; treatment (0%) versus placebo (2.8%), but the number who dropped out was small. The overall dropout rate was 1.4% (1/69)."
N,"“Allocated to receive valerian (n=53), Analyzed (n=51). Withdrawals: 1 loss to follow-up – changed student dormitory, and 1 discontinued intervention (dizziness).” “Allocated to receive placebo (n=53), Analyzed (n=49). Withdrawals: 2 loss to follow-up – perceived lack of effect, and 2 cramping and diarrhoea, nausea.” Comment: we found an unbalanced percentage of dropouts (treatment (2/53 = ˜3%) versus placebo (4/53 = ˜7%), but these numbers were small. Overall the dropout rate was 6/106 = 5.6%."
,"“During period of treatment, four individuals in the placebo group, two in 1% FEO treated group and one in 2% FEO treated group were rejected from the treatment program. Six people in first two groups discontinued the protocol due to unsatisfactory therapeutic response and one person in the latter group discontinued due to poor tolerability.” Comment: the dropout rate was 23.3% (14/60)."
,"“During the study, 12 participants taking 3 mg/day extract (23.1%), 19 taking 6 mg/day extract (33.4%), 11 taking placebo (26.2%) and 12 taking ibuprofen (26%) abandoned the study. In all cases, the reason cited for abandonment was lack of time. No statistically significant differences in demographic characteristics, gynaecological history and characteristics of dysmenorrhoeal were observed between students who abandoned the study and those who completed it.” Comment: although the percentage of dropouts in the treatment (3 and 6 mg) (28.4%), placebo (26.2%), and ibuprofen groups were not small (26%), the study authors reported no difference between participants who leQ the study 
and those who remained. The overall dropout rate was 54/197 = 27.4%."
Q,"“Forty parents provided informed consent for their infants to take part in the study; however, complete data were collected on 36 mother–infant dyads.” For outcome of vegetable intake grams during laboratory session 17 mothers in the intervention group and 18 mothers in the control group provided data. “At 6 months follow-up, 15 mothers in the IG completed the two feeding sessions, while 16 mothers completed them in the CG (86% return rate).”"
P,"“Four infants were excluded from the analyses of green bean acceptance (4/16)and 3 from those of peach acceptance (3/29) because mothers were noncompliant with test procedures (n=2), infants were sick during testings or exposure (n=2), or infants ate the maximum amount of food offered during their initial exposure (n=3)”"
,"“Group A remained intact but in group B, four participants withdrew from the study during the intervention period. One participant was admitted for arthroplasty, another withdrew after the first session after having a fall at home, another withdrew after the first session due to difficulty in getting to the department because of poor mobility. The fourth participant attended the first session then did not attend the second and could not be re-contacted. Three further participants dropped out of group B between the post-treatment assessment and the eight-week follow-up. One reported having had an arthroplasty and the other two were not contactable. One participant dropped out of group A during this period to have a total hip replacement.” 1(/16) acupuncture participant was unavailable for the eight week follow-up assessment. In the advice plus exercise group, 7(/16) participants were unavailable at the eightweek follow-up. ITT analysis was not applied. The dropout rate in the advice plus exercise group was 25% (4/16), and there was no dropout in the acupuncture group at 6 weeks (end of treatment). (high risk)"
,"“Home visits were conducted for a subsample only (total n=141). 9mth n=60; 12 mth n=123.” Unclear if this is actual subsample or if this reflects attrition/non-response It is unclear whether the n value for the subsample represents everyone who was eligible (i.e. had infants younger than 12 months prior to May 1993) with 100% consent rate, or if there were refusals."
,"“In study 2, 22.6%, 44.4%, and 14% of combined fruit and vegetable data were missing at times 1, 2, and 3, respectively. Missing values analysis determined that data were missing at random; thus the researchers used full information maximum likelihood estimation.” Greater than 20% missing data at two time points, with over 40% of data missing at Time 2"
,"“In the present study, two groups of 46 persons participated (92 persons). All of them entered the statistical analysis and no sample loss happened.”"
N,“Non-participation was greater in the intervention (75 (45%) of 168 participants) than in the usual care (42 (30%) of 138 participants) arm (Figure 1).” Attrition rate was high with >35% of families not completing follow-up at 3 months. Multiple imputations were performed to address missing data however non-participation was greater in the intervention than in the usual care condition
N,"“Of 75 participants of this study, five of them did not continue the study due to fearing of its side-effects; therefore we evaluated 70 students”. Comment: the dropout rate was 6.67% (5/75)."
Q,"“Of the parents randomized to the IG only sixty-seven (65 %) attended three or more workshops, with the remaining parents considered drop outs. The reasons for not attending the workshops were mainly difficulties in family timetables and illness of the children”. 35% of the intervention group did not attend the minimum of 3 workshops and were considered dropouts. Therefore analysis was not undertaken according to intention-to-treat principles and risk of attrition bias is high"
P,"“One male patient on chlorpromazine and isocarboxazid was discontinued after 6 weeks as he became increasingly tense, apprehensive and sleepless”"
N,“only 74% and 64% in each group respectively were available for analysis”
N,"“Overall, 160 patients (85 male and 75 female) were included in this study.”Even though the author did not report any withdrawals or missing data, itappeared that all of the 160 children who were initially randomised wereanalysed, as calculated from the results section based on the number of EEGsobtained."
N,“Sixty college students suffering from primary dysmenorrhoea were randomly assigned to two groups”. “Twenty‑nine students in the study group and 30 students in the control group were followed up. One student discontinued the trial due to malodor and bad taste of fennel drop.” Comment: the dropout rate was 3.33% (1/30).
N,"“Thirteen students who had received placebo discontinued the trial before completing the evaluation due to the fact that they indicated did not like to be involved in this research project any longer. More information on reasons for leaving was not captured. However, there were no significant differences between characteristics of 13 patients who leQ the placebo group and those who remained in the study (Table 1).” Comment: we found an imbalance regarding participants lost to follow-up found; treatment (0%) versus placebo (13/46 = 28.3%). The overall dropout rate was 12.4% (13/105)."
N,“Three participants allocated to SST and 2 allocated to supportive group discussion dropped out before completion of the trial. ” “All patients who relapsed and were withdrawn from the trial during the treatment phase were included as treatment failures. All missing data were given mean values of that particular variable at that particular assessment point.”
P,"“Twenty patients were allocated to the placebo group, and 20 were allocated to the melatonin group. Thirty-six patients completed the study; 3 patients in the melatonin group (1=depression, 2= no reason) and one in the placebo group withdrew due to treatment inefficacy (1=no reason).” Comment: the groups were unbalanced regarding numbers of dropouts across groups; treatment 15% (3/20), placebo 5% (1/20). The overall dropout rate was 10% (4/40)"
P,"“Twenty-four patients...entered the present study...One patient became pregnant before the first treatment, one patient had psychiatric problems that rendered her responses unreliable, and two patients were lost to follow-up for unknown reasons during the trial.”"
P,“Twenty-four patients...volunteered for this study. Eighteen women completed the trial; the remaining six terminated treatment for a variety of personal reasons.”
N,"“Two participants of the control group were excluded due to unwillingness to continue participation in the study, so the control group consisted of 38.” Comment: the dropout rate was 2.5% (2/80))."
N,“Two patients dropped out of skills training because they obtainedfull time employment and were thus unable to participate. ” No further details given
P,“Two subjects in the experimental group withdrew from the study before treatment one because of medical disease that required an inter-hospital transfer and the other who stabilized discharge from the hospital. Two subjects in the experimental group withdrew because they refused to participate. One subject in each of the groups withdrew during the training because of being transferred to another ward. Two subjects in the experimental group were excluded from the study because they were able to participate in less than half of the training sessions (four times)”
N,"“Unmarried Students were randomly assigned to two groups who received fenugreek (n=51) or placebo (n=50).” “106 individuals were enrolled in the study. The final analysis involved 101 students, 51 of whom received fenugreek and 50 received placebo.”"
N,"”A total of 131 children from 11 classrooms at the 3 childcare centers were enrolled in the study from May 2013 to July 2014. Eleven children were excluded from the analysis because they were absent for 3 or more of the 6 experimental meals. Thus, intake data was analyzed for 120 children (61 boys and 59 girls).” No attrition is reported."
P,"[no dropout during the trial] ITT analysis was not reported, there were no drop-outs, so it would not affect the estimate of the treatment effect in this trial."
N,% analysed: 130/131 (99%)
N,% analysed: 61/61 (100%)
N,"• Withdrawal due to clinical end-points was reported, but not total withdrawals from study • No report of participant follow-up after withdrawal due to end-point (confirmed by study author: personal communication) • Withdrawals from adverse effects not reported • The published report stated that all comparisons included all participants according to the ITT analysis, however, the study author confirmed that no clinically relevant endpoints were collected during the follow-up period of 9.3 years in the control group and 10.7 years in the treatment group, therefore an ITT analysis at the end of follow-up was not performed (personal communication). • The study author stated that there were no missing data and the last observation was carried forward (personal communication)"
N,< 10 incomplete outcome data
N,< 20%
Q,> 50% of participants had dropped out by 52 weeks and there was no intention-totreat analysis
P,> 80% follow-up
N,> 83% follow-up
N,> 85% follow-up for outcome data
N,> 86% follow-up
N,> 90% follow-up
N,1 active group lost at 30 day follow-up
N,1 death and 1 lost to follow-up at 1 year
N,"1 dropout after randomisation and 5 lost to follow-up were not analysed (1 LH and 5 AH group), i.e. < 5%. It is not clear how many women were lost to follow-up after 6 months"
P,1 dropout because of early resolution of PTA
P,1 exclusion (declined second-look laparoscopy)
P,"1 exclusion reported. ""Hysteroscopy failed in one woman because of cervical stenosis"""
N,"1 exclusion. ""One woman in the placebo group who experienced intolerable pain."""
N,"1 IG school crossed over to the CG on the first day of the intervention implementation due to water spillage, and no other dropouts or cross-overs are reported. For the 10-month follow-up data study authors report that results for an intention-to-treat analysis were not significantly different from results of the per-protocol analysis"
,"1 lost to follow-up, 1 death"
P,1 of 80 (< 1%) lost over 0.5 years (< 5% per year)
P,"1 participant clinically deteriorated prior to dosing and underwent emergency haematoma evacuation, so dropped out after randomization. Otherwise, completeness of follow-up was not mentioned"
P,1 participant excluded from analysis - reasons given
Q,"1 participant excluded, as underwent ovarian drilling. 4 withdrew because of pregnancy, 2 withdrew because of personal choice (n = 21)"
P,"1 participant was eliminated from the data analysis due to a history of irregular participation in repeated trials. Attrition reported at 3.85%. Quote: ""During the study, one CG subject was eliminated from data analysis due to a history of irregular participation in repeated trials"" (p296)"
Q,1 participant’s pH/impedance recording was stopped early: That period was discarded in the analysis. 8% data within pH probes also discarded because of interruptions
Q,"1 randomized participant was found to be ineligible, but was not excluded from the analysis. 1/61 participants (2%) discontinued treatment and was excluded from the analysis."
Q,1 refused assigned procedure and was analysed in assigned treatment group. Loss to follow-up was almost 20% in LH group; in AH group 6%
Q,1 withdrawal; reason given
N,"1 woman dropped out of the study but included in the final analysis (ITT). ""A patient could not tolerate speculum examination and the procedure was aborted."""
P,"1 year - AC 90/95, mesh 96/99"
P,"1 year 31/34 sacrospinous fixation, mesh 36/36"
Q,"1 year 31/34 SSF, Prolift mesh 36/38"
P,"1 year AC 55/56, mesh 55/58"
P,"1 year Gp A 70/80, Gp B 67/79"
Q,1 year Gp A 72/83; Gp B 79/85 (89%)
Q,1 year porcine 57/58: mesh 58/62
P,"1 year: AC 101/106, 98/100"
Q,1 year: Gp A 20/27(74%); Gp B 22/29 (76%)
Q,"1 year: Gp A 26/31, Gp B 28/30 (88%)"
Q,"1 year: Gp A 37/38, Gp B 37/38"
,"1-3 infants were missing data at various follow-up time points according to the published table with no information regarding which group, or if the same participants were missing data at multiple points, or different participants at each point. Information requested from trialist but was not available. Outcomes in trial protocol did not fully match outcomes reported in publication."
N,1-year AC 174/182; mesh 186/191
N,"1-Year evaluation, randomisedAC 76/79 (96%), mesh 78/82 (95%)"
P,"1-year evaluation/randomised AC 76/79, mesh 78/82"
N,1/104 dropped out (from eradication group)
P,1/11 participants (in the lithium first group) did not complete the study. Reason not reported.
N,"1/3 of participants discontinued from CEE cream group, 17% from placebo group and none from isoflavone group. Likely to cause bias and analysis was not based on ITT although it was reported that ""All data reported at week 0 and week 12 are from the intent-to-treat analyses, with missing values for each individual computed using the last observation carried forward approach"""
P,1/85 participants (1%) lost to follow-up and 1/85 participants (1%) discontinued due to local infection; not clear if these participants were excluded from the analyses
P,"10 (36%) participants were lost to follow up, although it reported findings for ITT analysis (full analysis set) and per-protocol analysis set"
P,10 dropouts were not analysed. 7 women did not attend surgery and 3 records were not available (< 10%) Loss to follow-up: at 12 months only 47% of patients filled out the questionnaire
P,"10 participants were lost to follow-up with no reasons provided. Given this study's sample size, this is a relatively large amount of missing data. The numbers in each group were initially balanced across treatment and placebo groups"
